   % Range crossline_E_amp crossline_E_phs inline_B_amp inline_B_phs  vertical_B_amp vertical_B_phs 
          0.0000  0.30038330E-06  179.66 0.30048371E-10 -178.89 0.79918207E-12    0.70
        250.0000  0.42228291E-08  179.05 0.10665200E-12 -121.26 0.14739913E-11    9.95
        500.0000  0.89051875E-09 -177.15 0.71669864E-13 -143.63 0.35831674E-12   24.72
        750.0000  0.34676778E-09 -170.38 0.50007745E-13 -145.42 0.14395971E-12   40.28
       1000.0000  0.17172749E-09 -162.07 0.34717800E-13 -141.85 0.70842766E-13   55.74
       1250.0000  0.95948841E-10 -153.32 0.24567839E-13 -136.50 0.38766430E-13   70.76
       1500.0000  0.57430888E-10 -144.85 0.17726589E-13 -130.47 0.22596513E-13   85.17
       1750.0000  0.35880396E-10 -137.10 0.12995394E-13 -124.29 0.13710147E-13   98.86
       2000.0000  0.23072049E-10 -130.41 0.96475802E-14 -118.28 0.85384971E-14  111.78
       2250.0000  0.15159181E-10 -125.04 0.72357313E-14 -112.65 0.54076582E-14  123.85
       2500.0000  0.10151167E-10 -121.25 0.54748848E-14 -107.55 0.34594997E-14  134.98
       2750.0000  0.69381040E-11 -119.22 0.41770033E-14 -103.09 0.22241796E-14  145.06
       3000.0000  0.48644493E-11 -119.01 0.32139582E-14  -99.34 0.14312884E-14  153.92
       3250.0000  0.35241199E-11 -120.46 0.24960130E-14  -96.33 0.91911571E-15  161.29
       3500.0000  0.26552356E-11 -123.10 0.19588838E-14  -94.07 0.58806754E-15  166.80
       3750.0000  0.20845464E-11 -126.26 0.15556910E-14  -92.50 0.37542627E-15  169.91
       4000.0000  0.16978467E-11 -129.27 0.12518003E-14  -91.55 0.24102570E-15  169.92
       4250.0000  0.14225860E-11 -131.70 0.10214259E-14  -91.09 0.15869088E-15  166.20
       4500.0000  0.12151512E-11 -133.42 0.84533218E-15  -91.00 0.11071035E-15  158.99
       4750.0000  0.10506163E-11 -134.49 0.70922414E-15  -91.14 0.84175234E-16  150.14
       5000.0000  0.91512537E-12 -135.06 0.60256728E-15  -91.40 0.69416434E-16  142.32
       5250.0000  0.80092075E-12 -135.28 0.51768177E-15  -91.68 0.60116356E-16  136.97
       5500.0000  0.70343461E-12 -135.29 0.44902614E-15  -91.94 0.53038940E-16  134.02
       5750.0000  0.61971910E-12 -135.20 0.39262937E-15  -92.14 0.46892409E-16  132.78
       6000.0000  0.54764921E-12 -135.07 0.34564935E-15  -92.28 0.41286651E-16  132.59
       6250.0000  0.48553907E-12 -134.94 0.30604050E-15  -92.36 0.36160049E-16  132.98
       6500.0000  0.43196719E-12 -134.84 0.27231187E-15  -92.40 0.31534995E-16  133.61
       6750.0000  0.38570115E-12 -134.77 0.24335653E-15  -92.40 0.27431271E-16  134.28
       7000.0000  0.34566593E-12 -134.73 0.21833430E-15  -92.39 0.23843925E-16  134.88
       7250.0000  0.31092863E-12 -134.72 0.19659248E-15  -92.36 0.20744387E-16  135.36
       7500.0000  0.28068748E-12 -134.74 0.17761284E-15  -92.33 0.18088160E-16  135.69
       7750.0000  0.25426051E-12 -134.76 0.16097612E-15  -92.30 0.15822849E-16  135.89
       8000.0000  0.23107282E-12 -134.79 0.14633805E-15  -92.27 0.13894505E-16  135.98
       8250.0000  0.21064300E-12 -134.83 0.13341278E-15  -92.24 0.12251904E-16  135.99
       8500.0000  0.19256950E-12 -134.86 0.12196102E-15  -92.22 0.10849000E-16  135.94
       8750.0000  0.17651784E-12 -134.89 0.11178140E-15  -92.21 0.96459817E-17  135.86
       9000.0000  0.16220905E-12 -134.92 0.10270371E-15  -92.20 0.86093625E-17  135.77
       9250.0000  0.14940983E-12 -134.94 0.94583644E-16  -92.18 0.77114993E-17  135.68
       9500.0000  0.13792416E-12 -134.96 0.87298534E-16  -92.18 0.69298270E-17  135.60
       9750.0000  0.12758649E-12 -134.98 0.80743810E-16  -92.17 0.62460150E-17  135.53
      10000.0000  0.11825625E-12 -135.00 0.74830087E-16  -92.16 0.56451658E-17  135.47
      10250.0000  0.10981337E-12 -135.01 0.69480735E-16  -92.16 0.51151184E-17  135.43
      10500.0000  0.10215478E-12 -135.03 0.64629849E-16  -92.15 0.46458740E-17  135.39
      10750.0000  0.95191558E-13 -135.04 0.60220565E-16  -92.14 0.42291404E-17  135.35
      11000.0000  0.88846664E-13 -135.05 0.56203654E-16  -92.14 0.38579794E-17  135.33
      11250.0000  0.83053075E-13 -135.06 0.52536352E-16  -92.13 0.35265362E-17  135.30
      11500.0000  0.77752289E-13 -135.07 0.49181389E-16  -92.13 0.32298338E-17  135.28
      11750.0000  0.72893076E-13 -135.08 0.46106179E-16  -92.12 0.29636142E-17  135.26
      12000.0000  0.68430450E-13 -135.09 0.43282143E-16  -92.12 0.27242162E-17  135.24
      12250.0000  0.64324792E-13 -135.10 0.40684141E-16  -92.12 0.25084788E-17  135.22
      12500.0000  0.60541131E-13 -135.11 0.38289999E-16  -92.11 0.23136631E-17  135.20
      12750.0000  0.57048517E-13 -135.12 0.36080104E-16  -92.11 0.21373895E-17  135.18
      13000.0000  0.53819496E-13 -135.12 0.34037065E-16  -92.10 0.19775855E-17  135.16
      13250.0000  0.50829663E-13 -135.13 0.32145427E-16  -92.10 0.18324415E-17  135.14
      13500.0000  0.48057273E-13 -135.14 0.30391419E-16  -92.10 0.17003746E-17  135.13
      13750.0000  0.45482907E-13 -135.14 0.28762749E-16  -92.09 0.15799965E-17  135.11
      14000.0000  0.43089195E-13 -135.15 0.27248417E-16  -92.09 0.14700876E-17  135.10
      14250.0000  0.40860561E-13 -135.16 0.25838562E-16  -92.09 0.13695738E-17  135.08
      14500.0000  0.38783015E-13 -135.16 0.24524327E-16  -92.09 0.12775075E-17  135.07
      14750.0000  0.36843964E-13 -135.17 0.23297741E-16  -92.08 0.11930505E-17  135.06
      15000.0000  0.35032057E-13 -135.17 0.22151615E-16  -92.08 0.11154602E-17  135.04
   % Range crossline_B_amp crossline_B_phs inline_E_amp inline_E_phs  vertical_E_amp vertical_E_phs 
          0.0000  0.30054806E-10    1.11 0.30003076E-06  179.66 0.53109257E-08    0.25
        250.0000  0.90106992E-12   10.71 0.49983940E-08   10.61 0.11336608E-08    5.04
        500.0000  0.14502537E-12   25.35 0.99944195E-09   23.37 0.18742499E-09   14.48
        750.0000  0.31438423E-13   48.56 0.34048078E-09   35.91 0.55442617E-10   26.24
       1000.0000  0.76513762E-14  108.35 0.14404898E-09   47.85 0.20978885E-10   39.57
       1250.0000  0.65422510E-14  178.00 0.68616175E-10   58.82 0.91051479E-11   54.18
       1500.0000  0.64858197E-14 -156.51 0.35140920E-10   68.40 0.43367041E-11   69.93
       1750.0000  0.56089930E-14 -142.15 0.18839161E-10   76.11 0.22209783E-11   86.60
       2000.0000  0.45595649E-14 -131.44 0.10400026E-10   81.32 0.12082093E-11  103.85
       2250.0000  0.36056620E-14 -122.61 0.58729383E-11   83.12 0.69098616E-12  121.31
       2500.0000  0.28167675E-14 -115.10 0.34253682E-11   80.34 0.41129371E-12  138.73
       2750.0000  0.21905460E-14 -108.67 0.21404148E-11   72.32 0.25242419E-12  155.94
       3000.0000  0.17032899E-14 -103.24 0.15089699E-11   60.91 0.15848610E-12  172.88
       3250.0000  0.13281768E-14  -98.78 0.12086962E-11   50.43 0.10117925E-12 -170.41
       3500.0000  0.10411837E-14  -95.26 0.10444821E-11   43.59 0.65388182E-13 -153.90
       3750.0000  0.82245735E-15  -92.65 0.92574857E-12   40.20 0.42642322E-13 -137.53
       4000.0000  0.65613233E-15  -90.89 0.82160612E-12   39.09 0.27999280E-13 -121.26
       4250.0000  0.52971910E-15  -89.87 0.72482236E-12   39.28 0.18481100E-13 -105.06
       4500.0000  0.43346522E-15  -89.46 0.63524776E-12   40.12 0.12248549E-13  -88.88
       4750.0000  0.35981176E-15  -89.51 0.55400430E-12   41.21 0.81442088E-14  -72.71
       5000.0000  0.30295977E-15  -89.85 0.48183167E-12   42.31 0.54293096E-14  -56.52
       5250.0000  0.25852401E-15  -90.34 0.41881621E-12   43.28 0.36271445E-14  -40.30
       5500.0000  0.22324589E-15  -90.86 0.36451576E-12   44.07 0.24274982E-14  -24.02
       5750.0000  0.19474732E-15  -91.33 0.31815535E-12   44.66 0.16271452E-14   -7.67
       6000.0000  0.17131925E-15  -91.70 0.27879736E-12   45.04 0.10922356E-14    8.77
       6250.0000  0.15174533E-15  -91.98 0.24546573E-12   45.27 0.73422981E-15   25.33
       6500.0000  0.13516149E-15  -92.16 0.21722731E-12   45.36 0.49435342E-15   42.03
       6750.0000  0.12094951E-15  -92.26 0.19323880E-12   45.37 0.33347958E-15   58.90
       7000.0000  0.10866006E-15  -92.31 0.17276840E-12   45.32 0.22550106E-15   75.96
       7250.0000  0.97958841E-16  -92.31 0.15519986E-12   45.24 0.15296616E-15   93.23
       7500.0000  0.88590220E-16  -92.29 0.14002553E-12   45.15 0.10419274E-15  110.72
       7750.0000  0.80353089E-16  -92.25 0.12683353E-12   45.07 0.71352765E-16  128.44
       8000.0000  0.73085062E-16  -92.22 0.11529265E-12   45.00 0.49197428E-16  146.37
       8250.0000  0.66652181E-16  -92.18 0.10513743E-12   44.94 0.34206431E-16  164.46
       8500.0000  0.60942142E-16  -92.15 0.96154714E-13   44.90 0.24019318E-16 -177.36
       8750.0000  0.55859745E-16  -92.12 0.88172426E-13   44.87 0.17054621E-16 -159.19
       9000.0000  0.51323713E-16  -92.10 0.81050392E-13   44.85 0.12254323E-16 -141.16
       9250.0000  0.47264367E-16  -92.09 0.74673263E-13   44.84 0.89119922E-17 -123.40
       9500.0000  0.43621834E-16  -92.08 0.68945065E-13   44.83 0.65568795E-17 -106.05
       9750.0000  0.40344593E-16  -92.08 0.63785100E-13   44.83 0.48756209E-17  -89.22
      10000.0000  0.37388271E-16  -92.07 0.59124865E-13   44.83 0.36593868E-17  -72.99
      10250.0000  0.34714611E-16  -92.07 0.54905732E-13   44.82 0.27683862E-17  -57.42
      10500.0000  0.32290588E-16  -92.07 0.51077188E-13   44.82 0.21082397E-17  -42.53
      10750.0000  0.30087646E-16  -92.07 0.47595474E-13   44.82 0.16144253E-17  -28.34
      11000.0000  0.28081041E-16  -92.07 0.44422522E-13   44.82 0.12421401E-17  -14.82
      11250.0000  0.26249279E-16  -92.07 0.41525095E-13   44.81 0.95973605E-18   -1.95
      11500.0000  0.24573643E-16  -92.07 0.38874096E-13   44.81 0.74447181E-18   10.29
      11750.0000  0.23037782E-16  -92.07 0.36443982E-13   44.80 0.57974877E-18   21.95
      12000.0000  0.21627375E-16  -92.07 0.34212287E-13   44.80 0.45328967E-18   33.08
      12250.0000  0.20329835E-16  -92.06 0.32159200E-13   44.80 0.35591731E-18   43.72
      12500.0000  0.19134074E-16  -92.06 0.30267221E-13   44.79 0.28071821E-18   53.92
      12750.0000  0.18030290E-16  -92.06 0.28520858E-13   44.79 0.22245649E-18   63.74
      13000.0000  0.17009799E-16  -92.06 0.26906363E-13   44.78 0.17715384E-18   73.24
      13250.0000  0.16064885E-16  -92.06 0.25411517E-13   44.78 0.14178262E-18   82.48
      13500.0000  0.15188677E-16  -92.06 0.24025431E-13   44.78 0.11403740E-18   91.50
      13750.0000  0.14375041E-16  -92.06 0.22738386E-13   44.77 0.92162830E-19  100.38
      14000.0000  0.13618489E-16  -92.05 0.21541684E-13   44.77 0.74822617E-19  109.14
      14250.0000  0.12914102E-16  -92.05 0.20427532E-13   44.77 0.60999294E-19  117.84
      14500.0000  0.12257462E-16  -92.05 0.19388928E-13   44.76 0.49917406E-19  126.51
      14750.0000  0.11644589E-16  -92.05 0.18419571E-13   44.76 0.40984720E-19  135.17
      15000.0000  0.11071899E-16  -92.05 0.17513782E-13   44.76 0.33747451E-19  143.84
   % Range crossline_B_amp crossline_B_phs inline_E_amp inline_E_phs  vertical_E_amp vertical_E_phs 
          0.0000  0.36319650E-12 -179.45 0.17537254E-07    0.32 0.17330800E-06    0.55
        250.0000  0.39438325E-12 -174.34 0.68744854E-10  178.59 0.60397528E-09 -179.21
        500.0000  0.58468621E-13 -164.86 0.98321334E-10 -167.00 0.54468191E-10 -176.04
        750.0000  0.16896796E-13 -153.05 0.30957398E-10 -155.24 0.12560794E-10 -169.53
       1000.0000  0.63408195E-14 -139.70 0.11927861E-10 -141.92 0.41946380E-11 -160.38
