   % Range crossline_E_amp crossline_E_phs inline_B_amp inline_B_phs  vertical_B_amp vertical_B_phs 
          0.0000  0.30103708E-06  179.39 0.29945825E-10 -177.87 0.79842617E-12    1.39
        250.0000  0.44554064E-08 -178.44 0.13637192E-12  -87.02 0.14176231E-11   18.55
        500.0000  0.95185825E-09 -165.87 0.56947229E-13 -116.40 0.31489072E-12   43.76
        750.0000  0.35123475E-09 -150.54 0.37400781E-13 -124.30 0.11289683E-12   68.62
       1000.0000  0.15778073E-09 -135.51 0.25406887E-13 -120.57 0.48839593E-13   92.15
       1250.0000  0.77697706E-10 -122.27 0.17322136E-13 -113.30 0.23183719E-13  114.09
       1500.0000  0.40176254E-10 -111.83 0.11845158E-13 -105.21 0.11552100E-13  134.28
       1750.0000  0.21465920E-10 -105.19 0.81338642E-14  -97.51 0.58852853E-14  152.55
       2000.0000  0.11924984E-10 -103.41 0.56209546E-14  -90.83 0.30069638E-14  168.58
       2250.0000  0.71090292E-11 -106.82 0.39228407E-14  -85.55 0.15146824E-14 -178.24
       2500.0000  0.47347898E-11 -113.60 0.27785239E-14  -81.82 0.73995136E-15 -169.30
       2750.0000  0.35293707E-11 -120.14 0.20090027E-14  -79.62 0.34822481E-15 -167.70
       3000.0000  0.28213289E-11 -124.23 0.14907607E-14  -78.73 0.16896779E-15 -179.38
       3250.0000  0.23202543E-11 -125.95 0.11386534E-14  -78.74 0.10883552E-15  157.33
       3500.0000  0.19233541E-11 -126.20 0.89479412E-15  -79.22 0.94660856E-16  141.95
       3750.0000  0.15973397E-11 -125.78 0.72090641E-15  -79.81 0.85733445E-16  137.58
       4000.0000  0.13293091E-11 -125.19 0.59254162E-15  -80.30 0.74609455E-16  138.19
       4250.0000  0.11108648E-11 -124.69 0.49452550E-15  -80.62 0.62569883E-16  140.42
       4500.0000  0.93420378E-12 -124.36 0.41753968E-15  -80.77 0.51254128E-16  142.84
       4750.0000  0.79178312E-12 -124.21 0.35577841E-15  -80.81 0.41507428E-16  144.81
       5000.0000  0.67673734E-12 -124.19 0.30548155E-15  -80.78 0.33549613E-16  146.14
       5250.0000  0.58322116E-12 -124.24 0.26407979E-15  -80.72 0.27254013E-16  146.82
       5500.0000  0.50651810E-12 -124.33 0.22971970E-15  -80.67 0.22348077E-16  147.00
       5750.0000  0.44296361E-12 -124.41 0.20100499E-15  -80.62 0.18532552E-16  146.88
       6000.0000  0.38977273E-12 -124.48 0.17685326E-15  -80.59 0.15541625E-16  146.62
       6250.0000  0.34484552E-12 -124.54 0.15641204E-15  -80.56 0.13164608E-16  146.34
       6500.0000  0.30659244E-12 -124.58 0.13900465E-15  -80.55 0.11245633E-16  146.10
       6750.0000  0.27379582E-12 -124.61 0.12409184E-15  -80.54 0.96735725E-17  145.93
       7000.0000  0.24550776E-12 -124.64 0.11124255E-15  -80.53 0.83699632E-17  145.81
       7250.0000  0.22097813E-12 -124.66 0.10011100E-15  -80.53 0.72787006E-17  145.74
       7500.0000  0.19960450E-12 -124.67 0.90418441E-16  -80.52 0.63585504E-17  145.70
       7750.0000  0.18089731E-12 -124.69 0.81938878E-16  -80.52 0.55782041E-17  145.66
       8000.0000  0.16445505E-12 -124.70 0.74487839E-16  -80.51 0.49131812E-17  145.64
       8250.0000  0.14994607E-12 -124.72 0.67913731E-16  -80.51 0.43439172E-17  145.61
       8500.0000  0.13709490E-12 -124.73 0.62091134E-16  -80.50 0.38545562E-17  145.58
       8750.0000  0.12567154E-12 -124.74 0.56915626E-16  -80.50 0.34321439E-17  145.56
       9000.0000  0.11548310E-12 -124.75 0.52299752E-16  -80.49 0.30660487E-17  145.53
       9250.0000  0.10636708E-12 -124.76 0.48169875E-16  -80.49 0.27475180E-17  145.51
       9500.0000  0.98185954E-13 -124.77 0.44463685E-16  -80.48 0.24693263E-17  145.48
       9750.0000  0.90822838E-13 -124.78 0.41128214E-16  -80.48 0.22254893E-17  145.46
      10000.0000  0.84177971E-13 -124.79 0.38118242E-16  -80.48 0.20110323E-17  145.44
      10250.0000  0.78165853E-13 -124.80 0.35395008E-16  -80.48 0.18218024E-17  145.42
      10500.0000  0.72712920E-13 -124.80 0.32925160E-16  -80.47 0.16543178E-17  145.41
      10750.0000  0.67755639E-13 -124.81 0.30679895E-16  -80.47 0.15056459E-17  145.39
      11000.0000  0.63238949E-13 -124.81 0.28634253E-16  -80.47 0.13733064E-17  145.38
      11250.0000  0.59114970E-13 -124.82 0.26766528E-16  -80.47 0.12551928E-17  145.36
      11500.0000  0.55341930E-13 -124.82 0.25057789E-16  -80.46 0.11495089E-17  145.35
      11750.0000  0.51883281E-13 -124.83 0.23491469E-16  -80.46 0.10547176E-17  145.34
      12000.0000  0.48706944E-13 -124.83 0.22053035E-16  -80.46 0.96949928E-18  145.32
      12250.0000  0.45784693E-13 -124.84 0.20729693E-16  -80.46 0.89271680E-18  145.31
      12500.0000  0.43091621E-13 -124.84 0.19510159E-16  -80.46 0.82338767E-18  145.30
      12750.0000  0.40605693E-13 -124.85 0.18384449E-16  -80.46 0.76066029E-18  145.29
      13000.0000  0.38307368E-13 -124.85 0.17343710E-16  -80.45 0.70379442E-18  145.29
      13250.0000  0.36179279E-13 -124.85 0.16380074E-16  -80.45 0.65214490E-18  145.28
      13500.0000  0.34205950E-13 -124.86 0.15486528E-16  -80.45 0.60514788E-18  145.27
      13750.0000  0.32373565E-13 -124.86 0.14656816E-16  -80.45 0.56230937E-18  145.26
      14000.0000  0.30669761E-13 -124.86 0.13885335E-16  -80.45 0.52319552E-18  145.25
      14250.0000  0.29083454E-13 -124.87 0.13167066E-16  -80.45 0.48742436E-18  145.25
      14500.0000  0.27604688E-13 -124.87 0.12497499E-16  -80.45 0.45465887E-18  145.24
      14750.0000  0.26224501E-13 -124.87 0.11872574E-16  -80.45 0.42460099E-18  145.24
      15000.0000  0.24934814E-13 -124.87 0.11288632E-16  -80.45 0.39698661E-18  145.23
   % Range crossline_B_amp crossline_B_phs inline_E_amp inline_E_phs  vertical_E_amp vertical_E_phs 
          0.0000  0.29952243E-10    2.13 0.30068455E-06  179.39 0.53106840E-08    0.51
        250.0000  0.85578699E-12   19.57 0.47349941E-08   18.87 0.11186388E-08    9.78
        500.0000  0.12656809E-12   44.97 0.86590797E-09   39.56 0.17679952E-09   27.11
        750.0000  0.25811754E-13   84.76 0.26447435E-09   58.27 0.48832557E-10   47.66
       1000.0000  0.90140197E-14  156.89 0.98056859E-10   74.45 0.16979723E-10   69.98
       1250.0000  0.72260491E-14 -152.31 0.39788233E-10   87.08 0.66857158E-11   93.56
       1500.0000  0.57800022E-14 -127.01 0.16827662E-10   94.36 0.28575792E-11  118.25
       1750.0000  0.42943679E-14 -110.45 0.73841522E-11   92.84 0.13028611E-11  143.88
       2000.0000  0.30722406E-14  -98.23 0.37188433E-11   79.14 0.62843937E-12  170.10
       2250.0000  0.21635138E-14  -89.07 0.25284677E-11   60.97 0.31853794E-12 -163.51
       2500.0000  0.15209368E-14  -82.54 0.20952264E-11   50.89 0.16829117E-12 -137.37
       2750.0000  0.10794984E-14  -78.41 0.17893584E-11   48.16 0.91834586E-13 -111.72
       3000.0000  0.78161240E-15  -76.40 0.15029104E-11   48.81 0.51318910E-13  -86.66
       3250.0000  0.58231774E-15  -76.08 0.12409307E-11   50.60 0.29164888E-13  -62.15
       3500.0000  0.44848210E-15  -76.83 0.10149424E-11   52.49 0.16770519E-13  -38.10
       3750.0000  0.35679013E-15  -78.02 0.82844806E-12   54.05 0.97233082E-14  -14.41
       4000.0000  0.29169131E-15  -79.16 0.67889203E-12   55.10 0.56708085E-14    9.01
       4250.0000  0.24339974E-15  -80.01 0.56085447E-12   55.69 0.33217106E-14   32.23
       4500.0000  0.20604543E-15  -80.54 0.46820470E-12   55.92 0.19521160E-14   55.32
       4750.0000  0.17618603E-15  -80.78 0.39526473E-12   55.90 0.11501469E-14   78.32
       5000.0000  0.15177694E-15  -80.84 0.33730640E-12   55.78 0.67898981E-15  101.25
       5250.0000  0.13154193E-15  -80.80 0.29064926E-12   55.61 0.40145880E-15  124.15
       5500.0000  0.11462208E-15  -80.72 0.25255018E-12   55.47 0.23763904E-15  147.02
       5750.0000  0.10039222E-15  -80.63 0.22101322E-12   55.36 0.14077896E-15  169.88
       6000.0000  0.88368837E-16  -80.57 0.19459595E-12   55.28 0.83435405E-16 -167.25
       6250.0000  0.78164137E-16  -80.52 0.17224783E-12   55.24 0.49454712E-16 -144.36
       6500.0000  0.69462099E-16  -80.49 0.15318944E-12   55.22 0.29306582E-16 -121.44
       6750.0000  0.62004196E-16  -80.47 0.13682851E-12   55.21 0.17357505E-16  -98.45
       7000.0000  0.55579286E-16  -80.47 0.12270394E-12   55.20 0.10272092E-16  -75.36
       7250.0000  0.50015390E-16  -80.46 0.11044914E-12   55.19 0.60730339E-17  -52.12
       7500.0000  0.45172639E-16  -80.46 0.99767843E-13   55.19 0.35869780E-17  -28.68
       7750.0000  0.40937187E-16  -80.46 0.90417888E-13   55.18 0.21171857E-17   -4.95
       8000.0000  0.37216099E-16  -80.46 0.82199726E-13   55.18 0.12498044E-17   19.15
       8250.0000  0.33933139E-16  -80.46 0.74947999E-13   55.17 0.73902554E-18   43.74
       8500.0000  0.31025396E-16  -80.46 0.68525069E-13   55.17 0.43891629E-18   68.92
       8750.0000  0.28440622E-16  -80.46 0.62815914E-13   55.16 0.26291304E-18   94.77
       9000.0000  0.26135139E-16  -80.46 0.57724032E-13   55.15 0.15973782E-18  121.28
       9250.0000  0.24072214E-16  -80.45 0.53168129E-13   55.15 0.99081069E-19  148.29
       9500.0000  0.22220779E-16  -80.45 0.49079427E-13   55.14 0.63099679E-19  175.43
       9750.0000  0.20554426E-16  -80.45 0.45399491E-13   55.14 0.41371338E-19 -157.78
      10000.0000  0.19050606E-16  -80.45 0.42078461E-13   55.14 0.27886351E-19 -131.88
      10250.0000  0.17689983E-16  -80.45 0.39073611E-13   55.13 0.19232095E-19 -107.26
      10500.0000  0.16455914E-16  -80.45 0.36348186E-13   55.13 0.13488888E-19  -84.13
      10750.0000  0.15334023E-16  -80.45 0.33870446E-13   55.13 0.95694955E-20  -62.54
      11000.0000  0.14311847E-16  -80.44 0.31612883E-13   55.12 0.68406730E-20  -42.41
      11250.0000  0.13378549E-16  -80.44 0.29551575E-13   55.12 0.49166104E-20  -23.64
      11500.0000  0.12524674E-16  -80.44 0.27665653E-13   55.12 0.35501516E-20   -6.10
      11750.0000  0.11741948E-16  -80.44 0.25936853E-13   55.11 0.25758203E-20   10.34
      12000.0000  0.11023113E-16  -80.44 0.24349149E-13   55.11 0.18793229E-20   25.81
      12250.0000  0.10361780E-16  -80.44 0.22888435E-13   55.11 0.13801631E-20   40.43
      12500.0000  0.97523107E-17  -80.44 0.21542264E-13   55.11 0.10211868E-20   54.33
      12750.0000  0.91897196E-17  -80.44 0.20299625E-13   55.11 0.76170315E-21   67.63
      13000.0000  0.86695845E-17  -80.44 0.19150753E-13   55.10 0.57283264E-21   80.42
      13250.0000  0.81879745E-17  -80.44 0.18086968E-13   55.10 0.43413252E-21   92.80
      13500.0000  0.77413878E-17  -80.44 0.17100537E-13   55.10 0.33120693E-21  104.84
      13750.0000  0.73266975E-17  -80.44 0.16184553E-13   55.10 0.25395060E-21  116.61
      14000.0000  0.69411059E-17  -80.44 0.15332839E-13   55.10 0.19526415E-21  128.12
      14250.0000  0.65821049E-17  -80.43 0.14539855E-13   55.10 0.15016540E-21  139.41
      14500.0000  0.62474411E-17  -80.43 0.13800625E-13   55.10 0.11514850E-21  150.50
      14750.0000  0.59350867E-17  -80.43 0.13110670E-13   55.09 0.87714472E-22  161.45
      15000.0000  0.56432131E-17  -80.43 0.12465952E-13   55.09 0.66078151E-22  172.33
   % Range crossline_B_amp crossline_B_phs inline_E_amp inline_E_phs  vertical_E_amp vertical_E_phs 
          0.0000  0.36309230E-12 -178.89 0.17536393E-07    0.64 0.17325826E-06    1.11
        250.0000  0.38951947E-12 -168.96 0.65008818E-10  173.69 0.61264255E-09 -177.99
        500.0000  0.55206731E-13 -151.52 0.92702291E-10 -156.00 0.56456926E-10 -169.97
        750.0000  0.14893013E-13 -130.87 0.27284337E-10 -135.42 0.12892580E-10 -155.50
       1000.0000  0.51351033E-14 -108.49 0.96646241E-11 -113.12 0.41273689E-11 -137.02
       1250.0000  0.20133126E-14  -84.88 0.38395845E-11  -89.56 0.15551371E-11 -116.33
       1500.0000  0.85811737E-15  -60.16 0.16504685E-11  -64.87 0.64438990E-12  -94.20
       1750.0000  0.39038559E-15  -34.52 0.75583024E-12  -39.27 0.28508915E-12  -70.95
       2000.0000  0.18796108E-15   -8.26 0.36592279E-12  -13.08 0.13295617E-12  -46.76
       2250.0000  0.95134398E-16   18.17 0.18602889E-12   13.24 0.64972512E-13  -21.89
       2500.0000  0.50209135E-16   44.36 0.98501847E-13   39.31 0.33118685E-13    3.35
       2750.0000  0.27379739E-16   70.06 0.53832827E-13   64.88 0.17513288E-13   28.61
       3000.0000  0.15294016E-16   95.16 0.30111672E-13   89.87 0.95446985E-14   53.66
       3250.0000  0.86897070E-17  119.70 0.17122485E-13  114.33 0.53250358E-14   78.35
       3500.0000  0.49962018E-17  143.77 0.98490864E-14  138.33 0.30230174E-14  102.66
       3750.0000  0.28965619E-17  167.48 0.57114106E-14  161.98 0.17379487E-14  126.61
       4000.0000  0.16892848E-17 -169.09 0.33313353E-14 -174.62 0.10082523E-14  150.27
       4250.0000  0.98949934E-18 -145.86 0.19514586E-14 -151.41 0.58876545E-15  173.70
       4500.0000  0.58151143E-18 -122.77 0.11468758E-14 -128.33 0.34545747E-15 -163.04
       4750.0000  0.34261492E-18  -99.76 0.67572643E-15 -105.34 0.20342167E-15 -139.90
       5000.0000  0.20226340E-18  -76.83 0.39891787E-15  -82.41 0.12010954E-15 -116.85
       5250.0000  0.11959054E-18  -53.93 0.23586342E-15  -59.52 0.71066462E-16  -93.85
       5500.0000  0.70790691E-19  -31.06 0.13961555E-15  -36.65 0.42116592E-16  -70.89
       5750.0000  0.41937205E-19   -8.20 0.82707949E-16  -13.79 0.24990724E-16  -47.94
       6000.0000  0.24855145E-19   14.67 0.49017440E-16    9.08 0.14842385E-16  -25.00
       6250.0000  0.14732569E-19   37.56 0.29053364E-16   31.97 0.88207949E-17   -2.05
       6500.0000  0.87305395E-20   60.48 0.17216353E-16   54.90 0.52442702E-17   20.93
       6750.0000  0.51709177E-20   83.47 0.10196499E-16   77.90 0.31184903E-17   43.94
       7000.0000  0.30601403E-20  106.56 0.60341231E-17  100.99 0.18544434E-17   67.01
       7250.0000  0.18091942E-20  129.79 0.35674766E-17  124.24 0.11026786E-17   90.16
       7500.0000  0.10685516E-20  153.22 0.21071751E-17  147.70 0.65561747E-18  113.43
       7750.0000  0.63066070E-21  176.94 0.12438707E-17  171.44 0.38983885E-18  136.84
       8000.0000  0.37223762E-21 -158.97 0.73442406E-18 -164.44 0.23190986E-18  160.45
       8250.0000  0.22005673E-21 -134.39 0.43442871E-18 -139.83 0.13812204E-18 -175.70
       8500.0000  0.13064451E-21 -109.22 0.25815736E-18 -114.63 0.82456510E-19 -151.55
       8750.0000  0.78213121E-22  -83.38 0.15476276E-18  -88.76 0.49427502E-19 -127.07
       9000.0000  0.47485904E-22  -56.86 0.94127652E-19  -62.26 0.29823054E-19 -102.23
       9250.0000  0.29431918E-22  -29.82 0.58453745E-19  -35.28 0.18168210E-19  -77.06
       9500.0000  0.18733044E-22   -2.62 0.37266996E-19   -8.18 0.11213569E-19  -51.67
       9750.0000  0.12281137E-22   24.24 0.24452726E-19   18.53 0.70347814E-20  -26.22
      10000.0000  0.82827701E-23   50.22 0.16486846E-19   44.35 0.44957751E-20   -0.98
      10250.0000  0.57192817E-23   74.90 0.11368088E-19   68.89 0.29286420E-20   23.73
      10500.0000  0.40181800E-23   98.05 0.79692472E-20   91.95 0.19423202E-20   47.63
      10750.0000  0.28560208E-23  119.61 0.56503049E-20  113.51 0.13082237E-20   70.48
      11000.0000  0.20451262E-23  139.65 0.40371777E-20  133.62 0.89215444E-21   92.12
      11250.0000  0.14716233E-23  158.26 0.29012290E-20  152.40 0.61433650E-21  112.49
      11500.0000  0.10628151E-23  175.59 0.20956221E-20  169.97 0.42629252E-21  131.56
      11750.0000  0.77012557E-24 -168.24 0.15220005E-20 -173.54 0.29776683E-21  149.37
      12000.0000  0.56000902E-24 -153.08 0.11124349E-20 -158.02 0.20932982E-21  165.98
      12250.0000  0.40881311E-24 -138.79 0.81917472E-21 -143.34 0.14818935E-21 -178.51
      12500.0000  0.29970154E-24 -125.20 0.60839463E-21 -129.38 0.10573858E-21 -163.99
      12750.0000  0.22065439E-24 -112.15 0.45608838E-21 -116.04 0.76142568E-22 -150.31
      13000.0000  0.16309915E-24  -99.44 0.34526451E-21 -103.21 0.55395188E-22 -137.27
      13250.0000  0.12095824E-24  -86.89 0.26392911E-21  -90.79 0.40742972E-22 -124.67
      13500.0000  0.89929463E-25  -74.29 0.20366473E-21  -78.74 0.30307405E-22 -112.29
      13750.0000  0.66979557E-25  -61.43 0.15856858E-21  -67.03 0.22804660E-22  -99.92
      14000.0000  0.49971143E-25  -48.07 0.12449944E-21  -55.67 0.17365630E-22  -87.42
      14250.0000  0.37390024E-25  -33.95 0.98537505E-22  -44.73 0.13393398E-22  -74.65
      14500.0000  0.28156417E-25  -18.86 0.78606233E-22  -34.32 0.10482076E-22  -61.64
      14750.0000  0.21482176E-25   -2.60 0.63210435E-22  -24.65 0.83497885E-23  -48.48
      15000.0000  0.16771375E-25   14.77 0.51268798E-22  -15.97 0.67848020E-23  -35.42
