   % Range crossline_E_amp crossline_E_phs inline_B_amp inline_B_phs  vertical_B_amp vertical_B_phs 
          0.0000  0.30038330E-06  179.66 0.30048371E-10 -178.89 0.79918207E-12    0.70
        250.0000  0.42228286E-08  179.05 0.10665601E-12 -121.26 0.14739912E-11    9.95
        500.0000  0.89051788E-09 -177.15 0.71672427E-13 -143.63 0.35831668E-12   24.72
        750.0000  0.34676636E-09 -170.38 0.50009868E-13 -145.41 0.14395961E-12   40.28
       1000.0000  0.17172557E-09 -162.07 0.34719734E-13 -141.84 0.70842619E-13   55.74
       1250.0000  0.95946633E-10 -153.33 0.24569598E-13 -136.49 0.38766251E-13   70.76
       1500.0000  0.57428644E-10 -144.85 0.17728141E-13 -130.46 0.22596315E-13   85.17
       1750.0000  0.35878335E-10 -137.11 0.12996706E-13 -124.28 0.13709945E-13   98.86
       2000.0000  0.23070322E-10 -130.42 0.96486342E-14 -118.27 0.85382991E-14  111.78
       2250.0000  0.15157873E-10 -125.06 0.72365300E-14 -112.64 0.54074717E-14  123.85
       2500.0000  0.10150305E-10 -121.27 0.54754471E-14 -107.54 0.34593288E-14  134.98
       2750.0000  0.69376689E-11 -119.23 0.41773600E-14 -103.08 0.22240264E-14  145.06
       3000.0000  0.48643867E-11 -119.03 0.32141464E-14  -99.33 0.14311539E-14  153.92
       3250.0000  0.35243446E-11 -120.48 0.24960722E-14  -96.32 0.91900032E-15  161.29
       3500.0000  0.26556437E-11 -123.13 0.19588523E-14  -94.05 0.58797144E-15  166.80
       3750.0000  0.20850340E-11 -126.28 0.15556033E-14  -92.49 0.37534989E-15  169.91
       4000.0000  0.16983304E-11 -129.28 0.12516853E-14  -91.54 0.24096980E-15  169.91
       4250.0000  0.14230136E-11 -131.71 0.10213055E-14  -91.09 0.15865625E-15  166.19
       4500.0000  0.12154998E-11 -133.43 0.84522136E-15  -91.00 0.11069625E-15  158.97
       4750.0000  0.10508832E-11 -134.50 0.70913135E-15  -91.14 0.84177472E-16  150.12
       5000.0000  0.91531896E-12 -135.06 0.60249571E-15  -91.40 0.69428141E-16  142.30
       5250.0000  0.80105407E-12 -135.28 0.51763087E-15  -91.68 0.60131373E-16  136.95
       5500.0000  0.70352151E-12 -135.29 0.44899316E-15  -91.94 0.53053538E-16  134.01
       5750.0000  0.61977221E-12 -135.20 0.39261057E-15  -92.14 0.46904886E-16  132.77
       6000.0000  0.54767908E-12 -135.06 0.34564093E-15  -92.28 0.41296495E-16  132.59
       6250.0000  0.48555396E-12 -134.93 0.30603907E-15  -92.36 0.36167347E-16  132.98
       6500.0000  0.43197321E-12 -134.83 0.27231471E-15  -92.40 0.31540102E-16  133.61
       6750.0000  0.38570255E-12 -134.77 0.24336161E-15  -92.40 0.27434631E-16  134.28
       7000.0000  0.34566547E-12 -134.73 0.21834025E-15  -92.39 0.23845979E-16  134.89
       7250.0000  0.31092794E-12 -134.73 0.19659842E-15  -92.36 0.20745527E-16  135.36
       7500.0000  0.28068739E-12 -134.74 0.17761828E-15  -92.33 0.18088704E-16  135.70
       7750.0000  0.25426134E-12 -134.76 0.16098085E-15  -92.30 0.15823042E-16  135.89
       8000.0000  0.23107458E-12 -134.80 0.14634204E-15  -92.27 0.13894520E-16  135.98
       8250.0000  0.21064553E-12 -134.83 0.13341606E-15  -92.24 0.12251853E-16  135.99
       8500.0000  0.19257258E-12 -134.86 0.12196371E-15  -92.22 0.10848949E-16  135.94
       8750.0000  0.17652124E-12 -134.89 0.11178361E-15  -92.21 0.96459629E-17  135.86
       9000.0000  0.16221259E-12 -134.92 0.10270553E-15  -92.19 0.86093860E-17  135.77
       9250.0000  0.14941336E-12 -134.94 0.94585182E-16  -92.18 0.77115626E-17  135.68
       9500.0000  0.13792758E-12 -134.97 0.87299856E-16  -92.18 0.69299214E-17  135.60
       9750.0000  0.12758974E-12 -134.98 0.80744971E-16  -92.17 0.62461300E-17  135.53
      10000.0000  0.11825929E-12 -135.00 0.74831126E-16  -92.16 0.56452916E-17  135.47
      10250.0000  0.10981619E-12 -135.01 0.69481681E-16  -92.15 0.51152472E-17  135.42
      10500.0000  0.10215739E-12 -135.03 0.64630721E-16  -92.15 0.46460000E-17  135.38
      10750.0000  0.95193965E-13 -135.04 0.60221377E-16  -92.14 0.42292600E-17  135.35
      11000.0000  0.88848882E-13 -135.05 0.56204413E-16  -92.14 0.38580905E-17  135.32
      11250.0000  0.83055121E-13 -135.06 0.52537065E-16  -92.13 0.35266381E-17  135.30
      11500.0000  0.77754180E-13 -135.07 0.49182061E-16  -92.13 0.32299263E-17  135.28
      11750.0000  0.72894829E-13 -135.08 0.46106812E-16  -92.12 0.29636980E-17  135.25
      12000.0000  0.68432078E-13 -135.09 0.43282741E-16  -92.12 0.27242920E-17  135.23
      12250.0000  0.64326310E-13 -135.10 0.40684706E-16  -92.12 0.25085474E-17  135.21
      12500.0000  0.60542549E-13 -135.11 0.38290532E-16  -92.11 0.23137253E-17  135.20
      12750.0000  0.57049844E-13 -135.12 0.36080608E-16  -92.11 0.21374461E-17  135.18
      13000.0000  0.53820742E-13 -135.13 0.34037542E-16  -92.10 0.19776371E-17  135.16
      13250.0000  0.50830834E-13 -135.13 0.32145878E-16  -92.10 0.18324888E-17  135.14
      13500.0000  0.48058375E-13 -135.14 0.30391846E-16  -92.10 0.17004179E-17  135.13
      13750.0000  0.45483947E-13 -135.15 0.28763154E-16  -92.09 0.15800364E-17  135.11
      14000.0000  0.43090177E-13 -135.15 0.27248801E-16  -92.09 0.14701243E-17  135.09
      14250.0000  0.40861490E-13 -135.16 0.25838927E-16  -92.09 0.13696078E-17  135.08
      14500.0000  0.38783894E-13 -135.16 0.24524674E-16  -92.09 0.12775389E-17  135.07
      14750.0000  0.36844798E-13 -135.17 0.23298070E-16  -92.08 0.11930797E-17  135.05
      15000.0000  0.35032849E-13 -135.17 0.22151928E-16  -92.08 0.11154873E-17  135.04
