   % Range crossline_E_amp crossline_E_phs inline_B_amp inline_B_phs  vertical_B_amp vertical_B_phs 
          0.0000  0.30103708E-06  179.39 0.29945824E-10 -177.87 0.79842617E-12    1.39
        250.0000  0.44554074E-08 -178.44 0.13637145E-12  -87.02 0.14176231E-11   18.55
        500.0000  0.95185932E-09 -165.87 0.56946624E-13 -116.40 0.31489073E-12   43.76
        750.0000  0.35123583E-09 -150.54 0.37400211E-13 -124.30 0.11289685E-12   68.62
       1000.0000  0.15778173E-09 -135.51 0.25406380E-13 -120.57 0.48839610E-13   92.15
       1250.0000  0.77698578E-10 -122.27 0.17321700E-13 -113.30 0.23183732E-13  114.09
       1500.0000  0.40176989E-10 -111.83 0.11844794E-13 -105.21 0.11552109E-13  134.28
       1750.0000  0.21466525E-10 -105.19 0.81335687E-14  -97.51 0.58852901E-14  152.55
       2000.0000  0.11925464E-10 -103.41 0.56207220E-14  -90.83 0.30069667E-14  168.58
       2250.0000  0.71093810E-11 -106.82 0.39226644E-14  -85.55 0.15146849E-14 -178.25
       2500.0000  0.47350102E-11 -113.60 0.27783970E-14  -81.82 0.73995508E-15 -169.30
       2750.0000  0.35294801E-11 -120.14 0.20089180E-14  -79.62 0.34823107E-15 -167.70
       3000.0000  0.28213642E-11 -124.23 0.14907101E-14  -78.73 0.16897704E-15 -179.38
       3250.0000  0.23202487E-11 -125.95 0.11386283E-14  -78.74 0.10884458E-15  157.33
       3500.0000  0.19233298E-11 -126.20 0.89478600E-15  -79.22 0.94666574E-16  141.95
       3750.0000  0.15973102E-11 -125.78 0.72090801E-15  -79.81 0.85736369E-16  137.58
       4000.0000  0.13292818E-11 -125.19 0.59254749E-15  -80.30 0.74610614E-16  138.19
       4250.0000  0.11108430E-11 -124.69 0.49453219E-15  -80.62 0.62570010E-16  140.42
       4500.0000  0.93418847E-12 -124.36 0.41754540E-15  -80.77 0.51253720E-16  142.84
       4750.0000  0.79177363E-12 -124.21 0.35578249E-15  -80.81 0.41506817E-16  144.82
       5000.0000  0.67673237E-12 -124.19 0.30548400E-15  -80.78 0.33549006E-16  146.14
       5250.0000  0.58321926E-12 -124.24 0.26408096E-15  -80.72 0.27253521E-16  146.82
       5500.0000  0.50651801E-12 -124.33 0.22971999E-15  -80.67 0.22347735E-16  147.00
       5750.0000  0.44296440E-12 -124.41 0.20100477E-15  -80.62 0.18532351E-16  146.88
       6000.0000  0.38977380E-12 -124.48 0.17685281E-15  -80.59 0.15541531E-16  146.62
       6250.0000  0.34484655E-12 -124.54 0.15641153E-15  -80.56 0.13164583E-16  146.34
       6500.0000  0.30659329E-12 -124.58 0.13900417E-15  -80.55 0.11245644E-16  146.10
       6750.0000  0.27379646E-12 -124.61 0.12409143E-15  -80.54 0.96735975E-17  145.93
       7000.0000  0.24550823E-12 -124.64 0.11124222E-15  -80.53 0.83699895E-17  145.81
       7250.0000  0.22097847E-12 -124.66 0.10011074E-15  -80.53 0.72787225E-17  145.74
       7500.0000  0.19960475E-12 -124.67 0.90418232E-16  -80.52 0.63585663E-17  145.70
       7750.0000  0.18089751E-12 -124.69 0.81938706E-16  -80.52 0.55782147E-17  145.67
       8000.0000  0.16445522E-12 -124.70 0.74487693E-16  -80.51 0.49131880E-17  145.64
       8250.0000  0.14994622E-12 -124.72 0.67913602E-16  -80.51 0.43439216E-17  145.61
       8500.0000  0.13709504E-12 -124.73 0.62091018E-16  -80.50 0.38545593E-17  145.58
       8750.0000  0.12567168E-12 -124.74 0.56915519E-16  -80.50 0.34321465E-17  145.56
       9000.0000  0.11548323E-12 -124.75 0.52299653E-16  -80.49 0.30660510E-17  145.53
       9250.0000  0.10636721E-12 -124.76 0.48169784E-16  -80.49 0.27475202E-17  145.51
       9500.0000  0.98186072E-13 -124.77 0.44463600E-16  -80.48 0.24693285E-17  145.48
       9750.0000  0.90822948E-13 -124.78 0.41128135E-16  -80.48 0.22254914E-17  145.46
      10000.0000  0.84178075E-13 -124.79 0.38118168E-16  -80.48 0.20110343E-17  145.44
      10250.0000  0.78165950E-13 -124.79 0.35394939E-16  -80.48 0.18218043E-17  145.42
      10500.0000  0.72713010E-13 -124.80 0.32925096E-16  -80.47 0.16543195E-17  145.41
      10750.0000  0.67755724E-13 -124.81 0.30679836E-16  -80.47 0.15056475E-17  145.39
      11000.0000  0.63239029E-13 -124.81 0.28634198E-16  -80.47 0.13733080E-17  145.38
      11250.0000  0.59115044E-13 -124.82 0.26766476E-16  -80.47 0.12551943E-17  145.36
      11500.0000  0.55342000E-13 -124.82 0.25057740E-16  -80.46 0.11495102E-17  145.35
      11750.0000  0.51883346E-13 -124.83 0.23491424E-16  -80.46 0.10547189E-17  145.34
      12000.0000  0.48707006E-13 -124.83 0.22052993E-16  -80.46 0.96950041E-18  145.33
      12250.0000  0.45784752E-13 -124.84 0.20729654E-16  -80.46 0.89271785E-18  145.31
      12500.0000  0.43091676E-13 -124.84 0.19510122E-16  -80.46 0.82338864E-18  145.30
      12750.0000  0.40605744E-13 -124.85 0.18384414E-16  -80.46 0.76066119E-18  145.29
      13000.0000  0.38307417E-13 -124.85 0.17343677E-16  -80.45 0.70379527E-18  145.29
      13250.0000  0.36179325E-13 -124.85 0.16380042E-16  -80.45 0.65214568E-18  145.28
      13500.0000  0.34205994E-13 -124.86 0.15486499E-16  -80.45 0.60514861E-18  145.27
      13750.0000  0.32373606E-13 -124.86 0.14656788E-16  -80.45 0.56231005E-18  145.26
      14000.0000  0.30669800E-13 -124.86 0.13885309E-16  -80.45 0.52319616E-18  145.25
