   % Range crossline_e_amp crossline_e_phs inline_B_amp inline_B_phs  vertical_B_amp vertical_B_phs 
          0.0000  0.30038330e-06  179.66 0.30048371e-10 -178.89 0.79918207e-12    0.70
        250.0000  0.42228291e-08  179.05 0.10665200e-12 -121.26 0.14739913e-11    9.95
        500.0000  0.89051875e-09 -177.15 0.71669864e-13 -143.63 0.35831674e-12   24.72
        750.0000  0.34676778e-09 -170.38 0.50007745e-13 -145.42 0.14395971e-12   40.28
       1000.0000  0.17172749e-09 -162.07 0.34717800e-13 -141.85 0.70842766e-13   55.74
       1250.0000  0.95948841e-10 -153.32 0.24567839e-13 -136.50 0.38766430e-13   70.76
       1500.0000  0.57430888e-10 -144.85 0.17726589e-13 -130.47 0.22596513e-13   85.17
       1750.0000  0.35880396e-10 -137.10 0.12995394e-13 -124.29 0.13710147e-13   98.86
       2000.0000  0.23072049e-10 -130.41 0.96475802e-14 -118.28 0.85384971e-14  111.78
       2250.0000  0.15159181e-10 -125.04 0.72357313e-14 -112.65 0.54076582e-14  123.85
       2500.0000  0.10151167e-10 -121.25 0.54748848e-14 -107.55 0.34594997e-14  134.98
       2750.0000  0.69381040e-11 -119.22 0.41770033e-14 -103.09 0.22241796e-14  145.06
       3000.0000  0.48644493e-11 -119.01 0.32139582e-14  -99.34 0.14312884e-14  153.92
       3250.0000  0.35241199e-11 -120.46 0.24960130e-14  -96.33 0.91911571e-15  161.29
       3500.0000  0.26552356e-11 -123.10 0.19588838e-14  -94.07 0.58806754e-15  166.80
       3750.0000  0.20845464e-11 -126.26 0.15556910e-14  -92.50 0.37542627e-15  169.91
       4000.0000  0.16978467e-11 -129.27 0.12518003e-14  -91.55 0.24102570e-15  169.92
       4250.0000  0.14225860e-11 -131.70 0.10214259e-14  -91.09 0.15869088e-15  166.20
       4500.0000  0.12151512e-11 -133.42 0.84533218e-15  -91.00 0.11071035e-15  158.99
       4750.0000  0.10506163e-11 -134.49 0.70922414e-15  -91.14 0.84175234e-16  150.14
       5000.0000  0.91512537e-12 -135.06 0.60256728e-15  -91.40 0.69416434e-16  142.32
       5250.0000  0.80092075e-12 -135.28 0.51768177e-15  -91.68 0.60116356e-16  136.97
       5500.0000  0.70343461e-12 -135.29 0.44902614e-15  -91.94 0.53038940e-16  134.02
       5750.0000  0.61971910e-12 -135.20 0.39262937e-15  -92.14 0.46892409e-16  132.78
       6000.0000  0.54764921e-12 -135.07 0.34564935e-15  -92.28 0.41286651e-16  132.59
       6250.0000  0.48553907e-12 -134.94 0.30604050e-15  -92.36 0.36160049e-16  132.98
       6500.0000  0.43196719e-12 -134.84 0.27231187e-15  -92.40 0.31534995e-16  133.61
       6750.0000  0.38570115e-12 -134.77 0.24335653e-15  -92.40 0.27431271e-16  134.28
       7000.0000  0.34566593e-12 -134.73 0.21833430e-15  -92.39 0.23843925e-16  134.88
       7250.0000  0.31092863e-12 -134.72 0.19659248e-15  -92.36 0.20744387e-16  135.36
       7500.0000  0.28068748e-12 -134.74 0.17761284e-15  -92.33 0.18088160e-16  135.69
       7750.0000  0.25426051e-12 -134.76 0.16097612e-15  -92.30 0.15822849e-16  135.89
       8000.0000  0.23107282e-12 -134.79 0.14633805e-15  -92.27 0.13894505e-16  135.98
       8250.0000  0.21064300e-12 -134.83 0.13341278e-15  -92.24 0.12251904e-16  135.99
       8500.0000  0.19256950e-12 -134.86 0.12196102e-15  -92.22 0.10849000e-16  135.94
       8750.0000  0.17651784e-12 -134.89 0.11178140e-15  -92.21 0.96459817e-17  135.86
       9000.0000  0.16220905e-12 -134.92 0.10270371e-15  -92.20 0.86093625e-17  135.77
       9250.0000  0.14940983e-12 -134.94 0.94583644e-16  -92.18 0.77114993e-17  135.68
       9500.0000  0.13792416e-12 -134.96 0.87298534e-16  -92.18 0.69298270e-17  135.60
       9750.0000  0.12758649e-12 -134.98 0.80743810e-16  -92.17 0.62460150e-17  135.53
      10000.0000  0.11825625e-12 -135.00 0.74830087e-16  -92.16 0.56451658e-17  135.47
      10250.0000  0.10981337e-12 -135.01 0.69480735e-16  -92.16 0.51151184e-17  135.43
      10500.0000  0.10215478e-12 -135.03 0.64629849e-16  -92.15 0.46458740e-17  135.39
      10750.0000  0.95191558e-13 -135.04 0.60220565e-16  -92.14 0.42291404e-17  135.35
      11000.0000  0.88846664e-13 -135.05 0.56203654e-16  -92.14 0.38579794e-17  135.33
      11250.0000  0.83053075e-13 -135.06 0.52536352e-16  -92.13 0.35265362e-17  135.30
      11500.0000  0.77752289e-13 -135.07 0.49181389e-16  -92.13 0.32298338e-17  135.28
      11750.0000  0.72893076e-13 -135.08 0.46106179e-16  -92.12 0.29636142e-17  135.26
      12000.0000  0.68430450e-13 -135.09 0.43282143e-16  -92.12 0.27242162e-17  135.24
      12250.0000  0.64324792e-13 -135.10 0.40684141e-16  -92.12 0.25084788e-17  135.22
      12500.0000  0.60541131e-13 -135.11 0.38289999e-16  -92.11 0.23136631e-17  135.20
      12750.0000  0.57048517e-13 -135.12 0.36080104e-16  -92.11 0.21373895e-17  135.18
      13000.0000  0.53819496e-13 -135.12 0.34037065e-16  -92.10 0.19775855e-17  135.16
      13250.0000  0.50829663e-13 -135.13 0.32145427e-16  -92.10 0.18324415e-17  135.14
      13500.0000  0.48057273e-13 -135.14 0.30391419e-16  -92.10 0.17003746e-17  135.13
      13750.0000  0.45482907e-13 -135.14 0.28762749e-16  -92.09 0.15799965e-17  135.11
      14000.0000  0.43089195e-13 -135.15 0.27248417e-16  -92.09 0.14700876e-17  135.10
      14250.0000  0.40860561e-13 -135.16 0.25838562e-16  -92.09 0.13695738e-17  135.08
      14500.0000  0.38783015e-13 -135.16 0.24524327e-16  -92.09 0.12775075e-17  135.07
      14750.0000  0.36843964e-13 -135.17 0.23297741e-16  -92.08 0.11930505e-17  135.06
      15000.0000  0.35032057e-13 -135.17 0.22151615e-16  -92.08 0.11154602e-17  135.04
   % Range crossline_B_amp crossline_B_phs inline_e_amp inline_e_phs  vertical_e_amp vertical_e_phs 
          0.0000  0.30054806e-10    1.11 0.30003076e-06  179.66 0.53109257e-08    0.25
        250.0000  0.90106992e-12   10.71 0.49983940e-08   10.61 0.11336608e-08    5.04
        500.0000  0.14502537e-12   25.35 0.99944195e-09   23.37 0.18742499e-09   14.48
        750.0000  0.31438423e-13   48.56 0.34048078e-09   35.91 0.55442617e-10   26.24
       1000.0000  0.76513762e-14  108.35 0.14404898e-09   47.85 0.20978885e-10   39.57
       1250.0000  0.65422510e-14  178.00 0.68616175e-10   58.82 0.91051479e-11   54.18
       1500.0000  0.64858197e-14 -156.51 0.35140920e-10   68.40 0.43367041e-11   69.93
       1750.0000  0.56089930e-14 -142.15 0.18839161e-10   76.11 0.22209783e-11   86.60
       2000.0000  0.45595649e-14 -131.44 0.10400026e-10   81.32 0.12082093e-11  103.85
       2250.0000  0.36056620e-14 -122.61 0.58729383e-11   83.12 0.69098616e-12  121.31
       2500.0000  0.28167675e-14 -115.10 0.34253682e-11   80.34 0.41129371e-12  138.73
       2750.0000  0.21905460e-14 -108.67 0.21404148e-11   72.32 0.25242419e-12  155.94
       3000.0000  0.17032899e-14 -103.24 0.15089699e-11   60.91 0.15848610e-12  172.88
       3250.0000  0.13281768e-14  -98.78 0.12086962e-11   50.43 0.10117925e-12 -170.41
       3500.0000  0.10411837e-14  -95.26 0.10444821e-11   43.59 0.65388182e-13 -153.90
       3750.0000  0.82245735e-15  -92.65 0.92574857e-12   40.20 0.42642322e-13 -137.53
       4000.0000  0.65613233e-15  -90.89 0.82160612e-12   39.09 0.27999280e-13 -121.26
       4250.0000  0.52971910e-15  -89.87 0.72482236e-12   39.28 0.18481100e-13 -105.06
       4500.0000  0.43346522e-15  -89.46 0.63524776e-12   40.12 0.12248549e-13  -88.88
       4750.0000  0.35981176e-15  -89.51 0.55400430e-12   41.21 0.81442088e-14  -72.71
       5000.0000  0.30295977e-15  -89.85 0.48183167e-12   42.31 0.54293096e-14  -56.52
       5250.0000  0.25852401e-15  -90.34 0.41881621e-12   43.28 0.36271445e-14  -40.30
       5500.0000  0.22324589e-15  -90.86 0.36451576e-12   44.07 0.24274982e-14  -24.02
       5750.0000  0.19474732e-15  -91.33 0.31815535e-12   44.66 0.16271452e-14   -7.67
       6000.0000  0.17131925e-15  -91.70 0.27879736e-12   45.04 0.10922356e-14    8.77
       6250.0000  0.15174533e-15  -91.98 0.24546573e-12   45.27 0.73422981e-15   25.33
       6500.0000  0.13516149e-15  -92.16 0.21722731e-12   45.36 0.49435342e-15   42.03
       6750.0000  0.12094951e-15  -92.26 0.19323880e-12   45.37 0.33347958e-15   58.90
       7000.0000  0.10866006e-15  -92.31 0.17276840e-12   45.32 0.22550106e-15   75.96
       7250.0000  0.97958841e-16  -92.31 0.15519986e-12   45.24 0.15296616e-15   93.23
       7500.0000  0.88590220e-16  -92.29 0.14002553e-12   45.15 0.10419274e-15  110.72
       7750.0000  0.80353089e-16  -92.25 0.12683353e-12   45.07 0.71352765e-16  128.44
       8000.0000  0.73085062e-16  -92.22 0.11529265e-12   45.00 0.49197428e-16  146.37
       8250.0000  0.66652181e-16  -92.18 0.10513743e-12   44.94 0.34206431e-16  164.46
       8500.0000  0.60942142e-16  -92.15 0.96154714e-13   44.90 0.24019318e-16 -177.36
       8750.0000  0.55859745e-16  -92.12 0.88172426e-13   44.87 0.17054621e-16 -159.19
       9000.0000  0.51323713e-16  -92.10 0.81050392e-13   44.85 0.12254323e-16 -141.16
       9250.0000  0.47264367e-16  -92.09 0.74673263e-13   44.84 0.89119922e-17 -123.40
       9500.0000  0.43621834e-16  -92.08 0.68945065e-13   44.83 0.65568795e-17 -106.05
       9750.0000  0.40344593e-16  -92.08 0.63785100e-13   44.83 0.48756209e-17  -89.22
      10000.0000  0.37388271e-16  -92.07 0.59124865e-13   44.83 0.36593868e-17  -72.99
      10250.0000  0.34714611e-16  -92.07 0.54905732e-13   44.82 0.27683862e-17  -57.42
      10500.0000  0.32290588e-16  -92.07 0.51077188e-13   44.82 0.21082397e-17  -42.53
      10750.0000  0.30087646e-16  -92.07 0.47595474e-13   44.82 0.16144253e-17  -28.34
      11000.0000  0.28081041e-16  -92.07 0.44422522e-13   44.82 0.12421401e-17  -14.82
      11250.0000  0.26249279e-16  -92.07 0.41525095e-13   44.81 0.95973605e-18   -1.95
      11500.0000  0.24573643e-16  -92.07 0.38874096e-13   44.81 0.74447181e-18   10.29
      11750.0000  0.23037782e-16  -92.07 0.36443982e-13   44.80 0.57974877e-18   21.95
      12000.0000  0.21627375e-16  -92.07 0.34212287e-13   44.80 0.45328967e-18   33.08
      12250.0000  0.20329835e-16  -92.06 0.32159200e-13   44.80 0.35591731e-18   43.72
      12500.0000  0.19134074e-16  -92.06 0.30267221e-13   44.79 0.28071821e-18   53.92
      12750.0000  0.18030290e-16  -92.06 0.28520858e-13   44.79 0.22245649e-18   63.74
      13000.0000  0.17009799e-16  -92.06 0.26906363e-13   44.78 0.17715384e-18   73.24
      13250.0000  0.16064885e-16  -92.06 0.25411517e-13   44.78 0.14178262e-18   82.48
      13500.0000  0.15188677e-16  -92.06 0.24025431e-13   44.78 0.11403740e-18   91.50
      13750.0000  0.14375041e-16  -92.06 0.22738386e-13   44.77 0.92162830e-19  100.38
      14000.0000  0.13618489e-16  -92.05 0.21541684e-13   44.77 0.74822617e-19  109.14
      14250.0000  0.12914102e-16  -92.05 0.20427532e-13   44.77 0.60999294e-19  117.84
      14500.0000  0.12257462e-16  -92.05 0.19388928e-13   44.76 0.49917406e-19  126.51
      14750.0000  0.11644589e-16  -92.05 0.18419571e-13   44.76 0.40984720e-19  135.17
      15000.0000  0.11071899e-16  -92.05 0.17513782e-13   44.76 0.33747451e-19  143.84
   % Range crossline_B_amp crossline_B_phs inline_e_amp inline_e_phs  vertical_e_amp vertical_e_phs 
          0.0000  0.36319650e-12 -179.45 0.17537254e-07    0.32 0.17330800e-06    0.55
        250.0000  0.39438325e-12 -174.34 0.68744854e-10  178.59 0.60397528e-09 -179.21
        500.0000  0.58468621e-13 -164.86 0.98321334e-10 -167.00 0.54468191e-10 -176.04
        750.0000  0.16896796e-13 -153.05 0.30957398e-10 -155.24 0.12560794e-10 -169.53
       1000.0000  0.63408195e-14 -139.70 0.11927861e-10 -141.92 0.41946380e-11 -160.38
