   % Range crossline_e_amp crossline_e_phs inline_B_amp inline_B_phs  vertical_B_amp vertical_B_phs 
          0.0000  0.30038330e-06  179.66 0.30048371e-10 -178.89 0.79918207e-12    0.70
        250.0000  0.42228299e-08  179.05 0.10665125e-12 -121.26 0.14739913e-11    9.95
        500.0000  0.89051948e-09 -177.15 0.71669254e-13 -143.63 0.35831679e-12   24.72
        750.0000  0.34676855e-09 -170.38 0.50007207e-13 -145.42 0.14395980e-12   40.28
       1000.0000  0.17172828e-09 -162.07 0.34717313e-13 -141.85 0.70842882e-13   55.74
       1250.0000  0.95949620e-10 -153.32 0.24567404e-13 -136.50 0.38766571e-13   70.76
       1500.0000  0.57431624e-10 -144.85 0.17726211e-13 -130.47 0.22596668e-13   85.17
       1750.0000  0.35881065e-10 -137.10 0.12995077e-13 -124.29 0.13710307e-13   98.86
       2000.0000  0.23072633e-10 -130.41 0.96473241e-14 -118.28 0.85386537e-14  111.78
       2250.0000  0.15159669e-10 -125.04 0.72355330e-14 -112.65 0.54078058e-14  123.85
       2500.0000  0.10151553e-10 -121.25 0.54747389e-14 -107.56 0.34596351e-14  134.98
       2750.0000  0.69383849e-11 -119.21 0.41769027e-14 -103.10 0.22243009e-14  145.06
       3000.0000  0.48646285e-11 -119.00 0.32138950e-14  -99.34 0.14313947e-14  153.92
       3250.0000  0.35242064e-11 -120.45 0.24959790e-14  -96.34 0.91920687e-15  161.29
       3500.0000  0.26552457e-11 -123.10 0.19588710e-14  -94.07 0.58814330e-15  166.80
       3750.0000  0.20845021e-11 -126.25 0.15556922e-14  -92.50 0.37548631e-15  169.91
       4000.0000  0.16977708e-11 -129.26 0.12518093e-14  -91.55 0.24106942e-15  169.92
       4250.0000  0.14224977e-11 -131.70 0.10214380e-14  -91.10 0.15871771e-15  166.22
       4500.0000  0.12150641e-11 -133.42 0.84534396e-15  -91.00 0.11072095e-15  159.01
       4750.0000  0.10505382e-11 -134.49 0.70923359e-15  -91.14 0.84172990e-16  150.16
       5000.0000  0.91505972e-12 -135.06 0.60257355e-15  -91.40 0.69406824e-16  142.34
       5250.0000  0.80086822e-12 -135.28 0.51768482e-15  -91.68 0.60104248e-16  136.98
       5500.0000  0.70339422e-12 -135.29 0.44902644e-15  -91.94 0.53027261e-16  134.02
       5750.0000  0.61968906e-12 -135.20 0.39262760e-15  -92.14 0.46882475e-16  132.78
       6000.0000  0.54762744e-12 -135.07 0.34564623e-15  -92.28 0.41278843e-16  132.60
       6250.0000  0.48552357e-12 -134.94 0.30603665e-15  -92.36 0.36154279e-16  132.98
       6500.0000  0.43195620e-12 -134.83 0.27230778e-15  -92.40 0.31530971e-16  133.60
       6750.0000  0.38569324e-12 -134.77 0.24335254e-15  -92.40 0.27428632e-16  134.28
       7000.0000  0.34566001e-12 -134.73 0.21833061e-15  -92.39 0.23842319e-16  134.88
       7250.0000  0.31092392e-12 -134.72 0.19658919e-15  -92.36 0.20743501e-16  135.36
       7500.0000  0.28068347e-12 -134.74 0.17760997e-15  -92.33 0.18087739e-16  135.69
       7750.0000  0.25425687e-12 -134.76 0.16097365e-15  -92.30 0.15822702e-16  135.89
       8000.0000  0.23106939e-12 -134.79 0.14633594e-15  -92.27 0.13894496e-16  135.98
       8250.0000  0.21063969e-12 -134.83 0.13341097e-15  -92.24 0.12251944e-16  135.99
       8500.0000  0.19256630e-12 -134.86 0.12195946e-15  -92.22 0.10849038e-16  135.94
       8750.0000  0.17651474e-12 -134.89 0.11178004e-15  -92.21 0.96459931e-17  135.86
       9000.0000  0.16220608e-12 -134.92 0.10270250e-15  -92.20 0.86093399e-17  135.77
       9250.0000  0.14940700e-12 -134.94 0.94582565e-16  -92.18 0.77114452e-17  135.68
       9500.0000  0.13792149e-12 -134.96 0.87297557e-16  -92.18 0.69297486e-17  135.60
       9750.0000  0.12758399e-12 -134.98 0.80742916e-16  -92.17 0.62459206e-17  135.53
      10000.0000  0.11825391e-12 -135.00 0.74829263e-16  -92.16 0.56450632e-17  135.48
      10250.0000  0.10981119e-12 -135.01 0.69479970e-16  -92.16 0.51150139e-17  135.43
      10500.0000  0.10215276e-12 -135.02 0.64629137e-16  -92.15 0.46457720e-17  135.39
      10750.0000  0.95189689e-13 -135.04 0.60219901e-16  -92.14 0.42290438e-17  135.36
      11000.0000  0.88844930e-13 -135.05 0.56203033e-16  -92.14 0.38578897e-17  135.33
      11250.0000  0.83051465e-13 -135.06 0.52535770e-16  -92.13 0.35264541e-17  135.30
      11500.0000  0.77750791e-13 -135.07 0.49180843e-16  -92.13 0.32297591e-17  135.28
      11750.0000  0.72891681e-13 -135.08 0.46105667e-16  -92.12 0.29635466e-17  135.26
      12000.0000  0.68429147e-13 -135.09 0.43281662e-16  -92.12 0.27241551e-17  135.24
      12250.0000  0.64323575e-13 -135.10 0.40683689e-16  -92.12 0.25084234e-17  135.22
      12500.0000  0.60539991e-13 -135.11 0.38289573e-16  -92.11 0.23136129e-17  135.20
      12750.0000  0.57047447e-13 -135.11 0.36079702e-16  -92.11 0.21373438e-17  135.18
      13000.0000  0.53818491e-13 -135.12 0.34036685e-16  -92.10 0.19775438e-17  135.16
      13250.0000  0.50828717e-13 -135.13 0.32145068e-16  -92.10 0.18324034e-17  135.15
      13500.0000  0.48056380e-13 -135.14 0.30391080e-16  -92.10 0.17003396e-17  135.13
      13750.0000  0.45482065e-13 -135.14 0.28762428e-16  -92.09 0.15799643e-17  135.11
      14000.0000  0.43088399e-13 -135.15 0.27248113e-16  -92.09 0.14700579e-17  135.10
      14250.0000  0.40859808e-13 -135.15 0.25838274e-16  -92.09 0.13695464e-17  135.08
      14500.0000  0.38782301e-13 -135.16 0.24524054e-16  -92.09 0.12774821e-17  135.07
      14750.0000  0.36843288e-13 -135.17 0.23297481e-16  -92.08 0.11930269e-17  135.06
      15000.0000  0.35031415e-13 -135.17 0.22151368e-16  -92.08 0.11154383e-17  135.04
   % Range crossline_B_amp crossline_B_phs inline_e_amp inline_e_phs  vertical_e_amp vertical_e_phs 
          0.0000  0.30054805e-10    1.11 0.30003076e-06  179.66 0.53109257e-08    0.25
        250.0000  0.90106951e-12   10.71 0.49983931e-08   10.61 0.11336608e-08    5.04
