   % Range crossline_e_amp crossline_e_phs inline_B_amp inline_B_phs  vertical_B_amp vertical_B_phs 
          0.0000  0.30038330e-06  179.66 0.30048371e-10 -178.89 0.79918207e-12    0.70
        166.6667  0.10314155e-07  178.72 0.21234528e-12 -137.63 0.31326055e-11    5.66
        333.3333  0.22272381e-08  179.90 0.88433012e-13 -131.82 0.83446174e-12   14.67
        500.0000  0.89051875e-09 -177.15 0.71669864e-13 -143.63 0.35831674e-12   24.72
        666.6667  0.45790622e-09 -172.87 0.56572160e-13 -145.77 0.18927235e-12   35.08
        833.3333  0.26931155e-09 -167.71 0.44210293e-13 -144.55 0.11185624e-12   45.47
       1000.0000  0.17172749e-09 -162.07 0.34717800e-13 -141.85 0.70842766e-13   55.74
       1166.6667  0.11539717e-09 -156.24 0.27506128e-13 -138.39 0.46991224e-13   65.82
       1333.3333  0.80375725e-10 -150.44 0.21991319e-13 -134.53 0.32201676e-13   75.64
       1500.0000  0.57430888e-10 -144.85 0.17726589e-13 -130.47 0.22596513e-13   85.17
       1666.6667  0.41815343e-10 -139.58 0.14390106e-13 -126.34 0.16138720e-13   94.38
       1833.3333  0.30884939e-10 -134.74 0.11752182e-13 -122.26 0.11680441e-13  103.26
       2000.0000  0.23072049e-10 -130.41 0.96475802e-14 -118.28 0.85384971e-14  111.78
       2166.6667  0.17399833e-10 -126.67 0.79557414e-14 -114.48 0.62881152e-14  119.93
       2333.3333  0.13234542e-10 -123.59 0.65872858e-14 -110.89 0.46556335e-14  127.67
       2500.0000  0.10151167e-10 -121.25 0.54748848e-14 -107.55 0.34594997e-14  134.98
       2666.6667  0.78566775e-11 -119.69 0.45670490e-14 -104.50 0.25762925e-14  141.83
       2833.3333  0.61441744e-11 -118.95 0.38238544e-14 -101.76 0.19203735e-14  148.16
       3000.0000  0.48644493e-11 -119.01 0.32139582e-14  -99.34 0.14312884e-14  153.92
       3166.6667  0.39077923e-11 -119.81 0.27124830e-14  -97.25 0.10657370e-14  159.02
       3333.3333  0.31921272e-11 -121.24 0.22994934e-14  -95.50 0.79232676e-15  163.36
       3500.0000  0.26552356e-11 -123.10 0.19588838e-14  -94.07 0.58806754e-15  166.80
       3666.6667  0.22496877e-11 -125.20 0.16775536e-14  -92.95 0.43598286e-15  169.18
       3833.3333  0.19395095e-11 -127.31 0.14447902e-14  -92.12 0.32345095e-15  170.29
       4000.0000  0.16978467e-11 -129.27 0.12518003e-14  -91.55 0.24102570e-15  169.92
       4166.6667  0.15051221e-11 -130.97 0.10913511e-14  -91.20 0.18157048e-15  167.87
       4333.3333  0.13474351e-11 -132.35 0.95749160e-15  -91.03 0.13959121e-15  164.13
       4500.0000  0.12151512e-11 -133.42 0.84533218e-15  -91.00 0.11071035e-15  158.99
       4666.6667  0.11017128e-11 -134.20 0.75086742e-15  -91.08 0.91299509e-16  153.10
       4833.3333  0.10026989e-11 -134.73 0.67082991e-15  -91.22 0.78330902e-16  147.31
       5000.0000  0.91512537e-12 -135.06 0.60256728e-15  -91.40 0.69416434e-16  142.32
       5166.6667  0.83694994e-12 -135.24 0.54393716e-15  -91.59 0.62861943e-16  138.46
       5333.3333  0.76673662e-12 -135.30 0.49321691e-15  -91.77 0.57602039e-16  135.75
       5500.0000  0.70343461e-12 -135.29 0.44902614e-15  -91.94 0.53038940e-16  134.02
       5666.6667  0.64623690e-12 -135.24 0.41026079e-15  -92.08 0.48872331e-16  133.04
       5833.3333  0.59449186e-12 -135.16 0.37603779e-15  -92.19 0.44970211e-16  132.63
       6000.0000  0.54764921e-12 -135.07 0.34564935e-15  -92.28 0.41286651e-16  132.59
       6166.6667  0.50522791e-12 -134.98 0.31852574e-15  -92.34 0.37814673e-16  132.81
       6333.3333  0.46679741e-12 -134.90 0.29420551e-15  -92.38 0.34561236e-16  133.17
       6500.0000  0.43196719e-12 -134.84 0.27231187e-15  -92.40 0.31534995e-16  133.61
       6666.6667  0.40038080e-12 -134.79 0.25253429e-15  -92.40 0.28741014e-16  134.06
       6833.3333  0.37171265e-12 -134.75 0.23461426e-15  -92.40 0.26179103e-16  134.49
       7000.0000  0.34566593e-12 -134.73 0.21833430e-15  -92.39 0.23843925e-16  134.88
       7166.6667  0.32197114e-12 -134.72 0.20350957e-15  -92.37 0.21725878e-16  135.22
       7333.3333  0.30038470e-12 -134.73 0.18998149e-15  -92.35 0.19812216e-16  135.49
       7500.0000  0.28068748e-12 -134.74 0.17761284e-15  -92.33 0.18088160e-16  135.69
       7666.6667  0.26268324e-12 -134.75 0.16628395e-15  -92.31 0.16537871e-16  135.84
       7833.3333  0.24619692e-12 -134.77 0.15588988e-15  -92.29 0.15145243e-16  135.93
       8000.0000  0.23107282e-12 -134.79 0.14633805e-15  -92.27 0.13894505e-16  135.98
       8166.6667  0.21717280e-12 -134.82 0.13754651e-15  -92.25 0.12770654e-16  135.99
       8333.3333  0.20437447e-12 -134.84 0.12944245e-15  -92.24 0.11759735e-16  135.98
       8500.0000  0.19256950e-12 -134.86 0.12196102e-15  -92.22 0.10849000e-16  135.94
       8666.6667  0.18166199e-12 -134.88 0.11504435e-15  -92.21 0.10026972e-16  135.89
       8833.3333  0.17156696e-12 -134.90 0.10864068e-15  -92.20 0.92834319e-17  135.83
       9000.0000  0.16220905e-12 -134.92 0.10270371e-15  -92.20 0.86093625e-17  135.77
       9166.6667  0.15352129e-12 -134.93 0.97191905e-16  -92.19 0.79968578e-17  135.71
       9333.3333  0.14544407e-12 -134.95 0.92068007e-16  -92.18 0.74390161e-17  135.65
       9500.0000  0.13792416e-12 -134.96 0.87298534e-16  -92.18 0.69298270e-17  135.60
       9666.6667  0.13091396e-12 -134.98 0.82853366e-16  -92.17 0.64640611e-17  135.55
       9833.3333  0.12437079e-12 -134.99 0.78705373e-16  -92.17 0.60371646e-17  135.51
      10000.0000  0.11825625e-12 -135.00 0.74830087e-16  -92.16 0.56451658e-17  135.47
   % Range crossline_B_amp crossline_B_phs inline_e_amp inline_e_phs  vertical_e_amp vertical_e_phs 
          0.0000  0.30054806e-10    1.11 0.30003076e-06  179.66 0.53109257e-08    0.25
        166.6667  0.20833227e-11    6.74 0.12257697e-07    6.31 0.30026637e-08    2.60
        333.3333  0.45505696e-12   15.09 0.26230555e-08   14.88 0.55642455e-09    7.86
