   % Range crossline_e_amp crossline_e_phs inline_B_amp inline_B_phs  vertical_B_amp vertical_B_phs 
          0.0000  0.30038330e-06  179.66 0.30048372e-10 -178.89 0.79918207e-12    0.70
        250.0000  0.42228278e-08  179.05 0.10665347e-12 -121.26 0.14739912e-11    9.95
        500.0000  0.89051734e-09 -177.15 0.71671047e-13 -143.63 0.35831665e-12   24.72
        750.0000  0.34676630e-09 -170.38 0.50008785e-13 -145.42 0.14395956e-12   40.28
       1000.0000  0.17172597e-09 -162.07 0.34718743e-13 -141.85 0.70842542e-13   55.74
       1250.0000  0.95947339e-10 -153.32 0.24568681e-13 -136.50 0.38766156e-13   70.76
       1500.0000  0.57429463e-10 -144.85 0.17727321e-13 -130.47 0.22596209e-13   85.17
       1750.0000  0.35879099e-10 -137.10 0.12996009e-13 -124.29 0.13709833e-13   98.86
       2000.0000  0.23070917e-10 -130.41 0.96480767e-14 -118.28 0.85381893e-14  111.78
       2250.0000  0.15158237e-10 -125.05 0.72361154e-14 -112.65 0.54073675e-14  123.85
       2500.0000  0.10150424e-10 -121.25 0.54751668e-14 -107.55 0.34592329e-14  134.98
       2750.0000  0.69375651e-11 -119.22 0.41771969e-14 -103.09 0.22239404e-14  145.06
       3000.0000  0.48641102e-11 -119.02 0.32140789e-14  -99.34 0.14310785e-14  153.92
       3250.0000  0.35239624e-11 -120.47 0.24960768e-14  -96.33 0.91893596e-15  161.29
       3500.0000  0.26552273e-11 -123.12 0.19589062e-14  -94.06 0.58791833e-15  166.80
       3750.0000  0.20846440e-11 -126.27 0.15556863e-14  -92.50 0.37530830e-15  169.90
       4000.0000  0.16980049e-11 -129.28 0.12517806e-14  -91.55 0.24094016e-15  169.90
       4250.0000  0.14227667e-11 -131.71 0.10214006e-14  -91.09 0.15863889e-15  166.18
       4500.0000  0.12153281e-11 -133.43 0.84530792e-15  -91.00 0.11069054e-15  158.95
       4750.0000  0.10507743e-11 -134.50 0.70920477e-15  -91.14 0.84180740e-16  150.10
