   % Range crossline_e_amp crossline_e_phs inline_B_amp inline_B_phs  vertical_B_amp vertical_B_phs 
          0.0000  0.30038330e-06  179.66 0.30048372e-10 -178.89 0.79918207e-12    0.70
        250.0000  0.42228285e-08  179.05 0.10665431e-12 -121.26 0.14739912e-11    9.95
        500.0000  0.89051790e-09 -177.15 0.71671418e-13 -143.63 0.35831669e-12   24.72
        750.0000  0.34676666e-09 -170.38 0.50009050e-13 -145.42 0.14395962e-12   40.28
       1000.0000  0.17172613e-09 -162.07 0.34718985e-13 -141.85 0.70842630e-13   55.74
       1250.0000  0.95947361e-10 -153.32 0.24568910e-13 -136.49 0.38766264e-13   70.76
       1500.0000  0.57429420e-10 -144.85 0.17727528e-13 -130.46 0.22596330e-13   85.17
       1750.0000  0.35879056e-10 -137.10 0.12996184e-13 -124.28 0.13709959e-13   98.86
       2000.0000  0.23070916e-10 -130.41 0.96482134e-14 -118.27 0.85383133e-14  111.78
       2250.0000  0.15158299e-10 -125.05 0.72362115e-14 -112.65 0.54074850e-14  123.85
       2500.0000  0.10150552e-10 -121.26 0.54752247e-14 -107.55 0.34593410e-14  134.98
       2750.0000  0.69377455e-11 -119.23 0.41772218e-14 -103.09 0.22240374e-14  145.06
       3000.0000  0.48643202e-11 -119.02 0.32140776e-14  -99.33 0.14311635e-14  153.92
       3250.0000  0.35241750e-11 -120.47 0.24960567e-14  -96.33 0.91900860e-15  161.29
       3500.0000  0.26554174e-11 -123.12 0.19588742e-14  -94.06 0.58797834e-15  166.80
       3750.0000  0.20847948e-11 -126.27 0.15556482e-14  -92.49 0.37535538e-15  169.91
       4000.0000  0.16981105e-11 -129.28 0.12517412e-14  -91.54 0.24097382e-15  169.91
       4250.0000  0.14228305e-11 -131.71 0.10213632e-14  -91.09 0.15865875e-15  166.19
       4500.0000  0.12153588e-11 -133.43 0.84527465e-15  -91.00 0.11069728e-15  158.97
       4750.0000  0.10507814e-11 -134.50 0.70917659e-15  -91.14 0.84177321e-16  150.12
       5000.0000  0.91525004e-12 -135.06 0.60253150e-15  -91.40 0.69427308e-16  142.30
       5250.0000  0.80101065e-12 -135.28 0.51765740e-15  -91.68 0.60130300e-16  136.95
       5500.0000  0.70349665e-12 -135.29 0.44901155e-15  -91.94 0.53052492e-16  134.01
       5750.0000  0.61976005e-12 -135.20 0.39262239e-15  -92.14 0.46903991e-16  132.77
       6000.0000  0.54767504e-12 -135.07 0.34564780e-15  -92.28 0.41295788e-16  132.59
       6250.0000  0.48555464e-12 -134.94 0.30604246e-15  -92.36 0.36166823e-16  132.98
       6500.0000  0.43197624e-12 -134.83 0.27231582e-15  -92.40 0.31539735e-16  133.61
       6750.0000  0.38570641e-12 -134.77 0.24336136e-15  -92.40 0.27434389e-16  134.28
       7000.0000  0.34566924e-12 -134.73 0.21833929e-15  -92.39 0.23845831e-16  134.89
       7250.0000  0.31093115e-12 -134.73 0.19659718e-15  -92.36 0.20745445e-16  135.36
       7500.0000  0.28068988e-12 -134.74 0.17761704e-15  -92.33 0.18088665e-16  135.70
       7750.0000  0.25426310e-12 -134.76 0.16097974e-15  -92.30 0.15823028e-16  135.89
       8000.0000  0.23107570e-12 -134.80 0.14634111e-15  -92.27 0.13894519e-16  135.98
       8250.0000  0.21064614e-12 -134.83 0.13341534e-15  -92.24 0.12251857e-16  135.99
       8500.0000  0.19257282e-12 -134.86 0.12196316e-15  -92.22 0.10848953e-16  135.94
       8750.0000  0.17652122e-12 -134.89 0.11178321e-15  -92.21 0.96459644e-17  135.86
       9000.0000  0.16221242e-12 -134.92 0.10270525e-15  -92.20 0.86093844e-17  135.77
       9250.0000  0.14941310e-12 -134.94 0.94584982e-16  -92.18 0.77115582e-17  135.68
       9500.0000  0.13792728e-12 -134.97 0.87299716e-16  -92.18 0.69299147e-17  135.60
       9750.0000  0.12758944e-12 -134.98 0.80744871e-16  -92.17 0.62461218e-17  135.53
      10000.0000  0.11825900e-12 -135.00 0.74831053e-16  -92.16 0.56452826e-17  135.47
      10250.0000  0.10981592e-12 -135.01 0.69481623e-16  -92.15 0.51152380e-17  135.42
      10500.0000  0.10215714e-12 -135.03 0.64630672e-16  -92.15 0.46459910e-17  135.39
      10750.0000  0.95193746e-13 -135.04 0.60221333e-16  -92.14 0.42292514e-17  135.35
      11000.0000  0.88848687e-13 -135.05 0.56204372e-16  -92.14 0.38580825e-17  135.32
      11250.0000  0.83054947e-13 -135.06 0.52537026e-16  -92.13 0.35266308e-17  135.30
      11500.0000  0.77754025e-13 -135.07 0.49182022e-16  -92.13 0.32299197e-17  135.28
      11750.0000  0.72894690e-13 -135.08 0.46106775e-16  -92.12 0.29636920e-17  135.25
      12000.0000  0.68431952e-13 -135.09 0.43282704e-16  -92.12 0.27242866e-17  135.23
      12250.0000  0.64326195e-13 -135.10 0.40684670e-16  -92.12 0.25085425e-17  135.21
      12500.0000  0.60542443e-13 -135.11 0.38290497e-16  -92.11 0.23137208e-17  135.20
      12750.0000  0.57049747e-13 -135.12 0.36080574e-16  -92.11 0.21374420e-17  135.18
      13000.0000  0.53820651e-13 -135.13 0.34037509e-16  -92.10 0.19776334e-17  135.16
      13250.0000  0.50830750e-13 -135.13 0.32145847e-16  -92.10 0.18324854e-17  135.14
      13500.0000  0.48058296e-13 -135.14 0.30391817e-16  -92.10 0.17004148e-17  135.13
      13750.0000  0.45483873e-13 -135.15 0.28763125e-16  -92.09 0.15800335e-17  135.11
      14000.0000  0.43090108e-13 -135.15 0.27248774e-16  -92.09 0.14701217e-17  135.09
      14250.0000  0.40861424e-13 -135.16 0.25838901e-16  -92.09 0.13696054e-17  135.08
      14500.0000  0.38783832e-13 -135.16 0.24524649e-16  -92.09 0.12775367e-17  135.07
      14750.0000  0.36844739e-13 -135.17 0.23298046e-16  -92.08 0.11930776e-17  135.05
      15000.0000  0.35032793e-13 -135.17 0.22151906e-16  -92.08 0.11154854e-17  135.04
   % Range crossline_B_amp crossline_B_phs inline_e_amp inline_e_phs  vertical_e_amp vertical_e_phs 
