   % Range crossline_e_amp crossline_e_phs inline_B_amp inline_B_phs  vertical_B_amp vertical_B_phs 
          0.0000  0.30038330e-06  179.66 0.30048371e-10 -178.89 0.79918207e-12    0.70
        250.0000  0.42228296e-08  179.05 0.10665333e-12 -121.26 0.14739913e-11    9.95
        500.0000  0.89051903e-09 -177.15 0.71670582e-13 -143.63 0.35831676e-12   24.72
        750.0000  0.34676781e-09 -170.38 0.50008305e-13 -145.42 0.14395974e-12   40.28
       1000.0000  0.17172729e-09 -162.07 0.34718310e-13 -141.85 0.70842808e-13   55.74
       1250.0000  0.95948488e-10 -153.32 0.24568308e-13 -136.50 0.38766481e-13   70.76
       1500.0000  0.57430479e-10 -144.85 0.17727006e-13 -130.46 0.22596569e-13   85.17
       1750.0000  0.35880018e-10 -137.10 0.12995746e-13 -124.29 0.13710206e-13   98.86
       2000.0000  0.23071761e-10 -130.41 0.96478588e-14 -118.28 0.85385546e-14  111.78
       2250.0000  0.15159014e-10 -125.05 0.72359356e-14 -112.65 0.54077126e-14  123.85
       2500.0000  0.10151126e-10 -121.26 0.54750199e-14 -107.55 0.34595496e-14  134.98
       2750.0000  0.69381754e-11 -119.22 0.41770787e-14 -103.09 0.22242244e-14  145.06
       3000.0000  0.48646067e-11 -119.01 0.32139856e-14  -99.34 0.14313276e-14  153.92
       3250.0000  0.35243279e-11 -120.46 0.24960047e-14  -96.33 0.91914926e-15  161.29
       3500.0000  0.26554570e-11 -123.11 0.19588516e-14  -94.06 0.58809534e-15  166.80
       3750.0000  0.20847505e-11 -126.26 0.15556453e-14  -92.50 0.37544821e-15  169.91
       4000.0000  0.16980148e-11 -129.27 0.12517496e-14  -91.54 0.24104154e-15  169.92
       4250.0000  0.14227117e-11 -131.70 0.10213764e-14  -91.09 0.15870044e-15  166.21
       4500.0000  0.12152373e-11 -133.42 0.84528787e-15  -91.00 0.11071391e-15  159.00
       4750.0000  0.10506699e-11 -134.49 0.70918708e-15  -91.14 0.84174086e-16  150.15
       5000.0000  0.91515454e-12 -135.06 0.60253801e-15  -91.40 0.69412634e-16  142.32
       5250.0000  0.80093303e-12 -135.28 0.51765982e-15  -91.68 0.60111705e-16  136.97
       5500.0000  0.70343611e-12 -135.29 0.44901046e-15  -91.94 0.53034508e-16  134.02
       5750.0000  0.61971441e-12 -135.20 0.39261869e-15  -92.14 0.46888666e-16  132.78
       6000.0000  0.54764152e-12 -135.06 0.34564243e-15  -92.28 0.41283725e-16  132.60
       6250.0000  0.48553046e-12 -134.94 0.30603626e-15  -92.36 0.36157897e-16  132.98
       6500.0000  0.43195889e-12 -134.83 0.27230943e-15  -92.40 0.31533500e-16  133.61
       6750.0000  0.38569380e-12 -134.77 0.24335523e-15  -92.40 0.27430296e-16  134.28
       7000.0000  0.34565975e-12 -134.73 0.21833366e-15  -92.39 0.23843335e-16  134.88
       7250.0000  0.31092361e-12 -134.72 0.19659219e-15  -92.36 0.20744064e-16  135.36
       7500.0000  0.28068349e-12 -134.74 0.17761270e-15  -92.33 0.18088009e-16  135.69
       7750.0000  0.25425737e-12 -134.76 0.16097601e-15  -92.30 0.15822798e-16  135.89
       8000.0000  0.23107034e-12 -134.79 0.14633792e-15  -92.27 0.13894504e-16  135.98
       8250.0000  0.21064101e-12 -134.83 0.13341259e-15  -92.24 0.12251920e-16  135.99
       8500.0000  0.19256787e-12 -134.86 0.12196079e-15  -92.22 0.10849014e-16  135.94
       8750.0000  0.17651646e-12 -134.89 0.11178112e-15  -92.21 0.96459852e-17  135.86
       9000.0000  0.16220786e-12 -134.92 0.10270340e-15  -92.20 0.86093528e-17  135.77
       9250.0000  0.14940877e-12 -134.94 0.94583323e-16  -92.18 0.77114776e-17  135.68
       9500.0000  0.13792320e-12 -134.96 0.87298210e-16  -92.18 0.69297962e-17  135.60
       9750.0000  0.12758561e-12 -134.98 0.80743491e-16  -92.17 0.62459783e-17  135.53
      10000.0000  0.11825543e-12 -135.00 0.74829779e-16  -92.16 0.56451261e-17  135.48
      10250.0000  0.10981260e-12 -135.01 0.69480441e-16  -92.16 0.51150781e-17  135.43
      10500.0000  0.10215406e-12 -135.03 0.64629572e-16  -92.15 0.46458347e-17  135.39
