   % Range crossline_e_amp crossline_e_phs inline_B_amp inline_B_phs  vertical_B_amp vertical_B_phs 
          0.0000  0.30038330e-06  179.66 0.30048371e-10 -178.89 0.79918207e-12    0.70
        250.0000  0.42228290e-08  179.05 0.10665904e-12 -121.26 0.14739912e-11    9.95
        500.0000  0.89051792e-09 -177.16 0.71674207e-13 -143.63 0.35831668e-12   24.72
        750.0000  0.34676588e-09 -170.38 0.50011316e-13 -145.41 0.14395960e-12   40.28
       1000.0000  0.17172460e-09 -162.07 0.34721071e-13 -141.84 0.70842614e-13   55.74
       1250.0000  0.95945334e-10 -153.33 0.24570844e-13 -136.49 0.38766245e-13   70.76
       1500.0000  0.57427233e-10 -144.86 0.17729266e-13 -130.45 0.22596308e-13   85.17
       1750.0000  0.35877002e-10 -137.11 0.12997678e-13 -124.27 0.13709937e-13   98.86
       2000.0000  0.23069204e-10 -130.43 0.96494312e-14 -118.26 0.85382920e-14  111.78
       2250.0000  0.15157051e-10 -125.07 0.72371463e-14 -112.63 0.54074650e-14  123.85
       2500.0000  0.10149809e-10 -121.28 0.54758904e-14 -107.53 0.34593226e-14  134.98
       2750.0000  0.69374885e-11 -119.25 0.41776482e-14 -103.07 0.22240209e-14  145.06
       3000.0000  0.48644779e-11 -119.05 0.32143040e-14  -99.31 0.14311491e-14  153.92
       3250.0000  0.35246375e-11 -120.50 0.24961269e-14  -96.31 0.91899618e-15  161.29
       3500.0000  0.26560538e-11 -123.14 0.19588319e-14  -94.04 0.58796799e-15  166.80
       3750.0000  0.20854794e-11 -126.29 0.15555339e-14  -92.48 0.37534714e-15  169.91
       4000.0000  0.16987482e-11 -129.29 0.12515893e-14  -91.53 0.24096779e-15  169.91
       4250.0000  0.14233678e-11 -131.72 0.10212009e-14  -91.08 0.15865500e-15  166.19
       4500.0000  0.12157778e-11 -133.43 0.84512102e-15  -90.99 0.11069574e-15  158.97
       4750.0000  0.10510877e-11 -134.49 0.70904325e-15  -91.13 0.84177547e-16  150.12
       5000.0000  0.91546046e-12 -135.06 0.60242365e-15  -91.39 0.69428557e-16  142.30
       5250.0000  0.80114560e-12 -135.28 0.51757552e-15  -91.68 0.60131910e-16  136.95
       5500.0000  0.70357580e-12 -135.29 0.44895314e-15  -91.94 0.53054061e-16  134.01
       5750.0000  0.61980033e-12 -135.19 0.39258344e-15  -92.14 0.46905333e-16  132.77
       6000.0000  0.54768994e-12 -135.06 0.34562389e-15  -92.28 0.41296849e-16  132.59
       6250.0000  0.48555435e-12 -134.93 0.30602944e-15  -92.37 0.36167610e-16  132.98
       6500.0000  0.43196796e-12 -134.83 0.27231018e-15  -92.40 0.31540286e-16  133.61
       6750.0000  0.38569494e-12 -134.76 0.24336035e-15  -92.41 0.27434752e-16  134.28
       7000.0000  0.34565751e-12 -134.73 0.21834088e-15  -92.39 0.23846054e-16  134.89
       7250.0000  0.31092077e-12 -134.72 0.19660000e-15  -92.36 0.20745568e-16  135.36
       7500.0000  0.28068152e-12 -134.74 0.17762019e-15  -92.33 0.18088724e-16  135.70
       7750.0000  0.25425688e-12 -134.76 0.16098272e-15  -92.30 0.15823049e-16  135.89
       8000.0000  0.23107142e-12 -134.80 0.14634366e-15  -92.27 0.13894521e-16  135.98
       8250.0000  0.21064345e-12 -134.83 0.13341738e-15  -92.24 0.12251851e-16  135.99
       8500.0000  0.19257134e-12 -134.86 0.12196471e-15  -92.22 0.10848947e-16  135.94
       8750.0000  0.17652060e-12 -134.89 0.11178433e-15  -92.21 0.96459621e-17  135.86
       9000.0000  0.16221237e-12 -134.92 0.10270603e-15  -92.19 0.86093868e-17  135.77
       9250.0000  0.14941340e-12 -134.94 0.94585504e-16  -92.18 0.77115648e-17  135.68
       9500.0000  0.13792776e-12 -134.97 0.87300053e-16  -92.18 0.69299247e-17  135.60
       9750.0000  0.12758999e-12 -134.98 0.80745083e-16  -92.17 0.62461340e-17  135.53
      10000.0000  0.11825956e-12 -135.00 0.74831184e-16  -92.16 0.56452961e-17  135.47
      10250.0000  0.10981645e-12 -135.01 0.69481705e-16  -92.15 0.51152517e-17  135.42
      10500.0000  0.10215762e-12 -135.03 0.64630728e-16  -92.15 0.46460045e-17  135.38
      10750.0000  0.95194167e-13 -135.04 0.60221375e-16  -92.14 0.42292642e-17  135.35
      11000.0000  0.88849053e-13 -135.05 0.56204410e-16  -92.14 0.38580944e-17  135.32
      11250.0000  0.83055264e-13 -135.06 0.52537063e-16  -92.13 0.35266417e-17  135.30
      11500.0000  0.77754299e-13 -135.07 0.49182061e-16  -92.13 0.32299297e-17  135.28
      11750.0000  0.72894929e-13 -135.08 0.46106816e-16  -92.12 0.29637010e-17  135.25
      12000.0000  0.68432163e-13 -135.09 0.43282747e-16  -92.12 0.27242947e-17  135.23
      12250.0000  0.64326382e-13 -135.10 0.40684714e-16  -92.12 0.25085498e-17  135.21
      12500.0000  0.60542611e-13 -135.11 0.38290542e-16  -92.11 0.23137275e-17  135.20
      12750.0000  0.57049899e-13 -135.12 0.36080619e-16  -92.11 0.21374481e-17  135.18
      13000.0000  0.53820790e-13 -135.13 0.34037554e-16  -92.10 0.19776389e-17  135.16
      13250.0000  0.50830878e-13 -135.13 0.32145890e-16  -92.10 0.18324905e-17  135.14
      13500.0000  0.48058415e-13 -135.14 0.30391859e-16  -92.10 0.17004195e-17  135.13
      13750.0000  0.45483984e-13 -135.15 0.28763167e-16  -92.09 0.15800378e-17  135.11
      14000.0000  0.43090212e-13 -135.15 0.27248814e-16  -92.09 0.14701257e-17  135.09
      14250.0000  0.40861522e-13 -135.16 0.25838939e-16  -92.09 0.13696090e-17  135.08
      14500.0000  0.38783925e-13 -135.16 0.24524686e-16  -92.09 0.12775401e-17  135.07
      14750.0000  0.36844827e-13 -135.17 0.23298081e-16  -92.08 0.11930807e-17  135.05
      15000.0000  0.35032876e-13 -135.17 0.22151939e-16  -92.08 0.11154883e-17  135.04
   % Range crossline_B_amp crossline_B_phs inline_e_amp inline_e_phs  vertical_e_amp vertical_e_phs 
          0.0000  0.30054805e-10    1.11 0.30003076e-06  179.66 0.53109257e-08    0.25
        250.0000  0.90107096e-12   10.71 0.49983972e-08   10.61 0.11336614e-08    5.04
        500.0000  0.14502758e-12   25.35 0.99944678e-09   23.37 0.18742613e-09   14.48
        750.0000  0.31441658e-13   48.57 0.34048549e-09   35.91 0.55444397e-10   26.24
       1000.0000  0.76558049e-14  108.36 0.14405209e-09   47.86 0.20981147e-10   39.57
       1250.0000  0.65450236e-14  177.98 0.68616789e-10   58.83 0.91076480e-11   54.19
       1500.0000  0.64884199e-14 -156.52 0.35138786e-10   68.41 0.43391829e-11   69.95
       1750.0000  0.56120764e-14 -142.15 0.18834483e-10   76.13 0.22232309e-11   86.61
       2000.0000  0.45631349e-14 -131.43 0.10393289e-10   81.34 0.12101230e-11  103.86
       2250.0000  0.36095114e-14 -122.59 0.58648226e-11   83.13 0.69253940e-12  121.33
       2500.0000  0.28206295e-14 -115.06 0.34168328e-11   80.32 0.41252793e-12  138.76
       2750.0000  0.21941670e-14 -108.61 0.21328498e-11   72.22 0.25340710e-12  156.00
       3000.0000  0.17064666e-14 -103.16 0.15038387e-11   60.68 0.15928439e-12  173.01
       3250.0000  0.13307730e-14  -98.67 0.12064832e-11   50.10 0.10184518e-12 -170.20
       3500.0000  0.10431334e-14  -95.13 0.10445777e-11   43.24 0.65957024e-13 -153.56
       3750.0000  0.82376076e-15  -92.48 0.92727794e-12   39.87 0.43135376e-13 -137.03
       4000.0000  0.65684536e-15  -90.69 0.82387238e-12   38.81 0.28428523e-13 -120.57
       4250.0000  0.52993940e-15  -89.66 0.72734961e-12   39.06 0.18853342e-13 -104.14
       4500.0000  0.43331479e-15  -89.26 0.63772849e-12   39.95 0.12568367e-13  -87.72
       4750.0000  0.35941848e-15  -89.33 0.55625074e-12   41.10 0.84156412e-14  -71.28
       5000.0000  0.30244078e-15  -89.70 0.48374209e-12   42.25 0.56566128e-14  -54.82
       5250.0000  0.25797385e-15  -90.22 0.42035134e-12   43.28 0.38149652e-14  -38.32
       5500.0000  0.22273108e-15  -90.78 0.36568085e-12   44.11 0.25807401e-14  -21.77
       5750.0000  0.19430697e-15  -91.29 0.31898544e-12   44.72 0.17507302e-14   -5.16
       6000.0000  0.17096975e-15  -91.70 0.27934478e-12   45.13 0.11908713e-14   11.52
       6250.0000  0.15148676e-15  -92.00 0.24578985e-12   45.36 0.81223433e-15   28.30
       6500.0000  0.13498392e-15  -92.20 0.21738659e-12   45.46 0.55555151e-15   45.17
       6750.0000  0.12083819e-15  -92.31 0.19328545e-12   45.45 0.38116175e-15   62.16
       7000.0000  0.10859906e-15  -92.36 0.17274533e-12   45.39 0.26243094e-15   79.27
       7250.0000  0.97933395e-16  -92.36 0.15513972e-12   45.29 0.18141936e-15   96.50
       7500.0000  0.88587898e-16  -92.33 0.13995127e-12   45.19 0.12601293e-15  113.85
       7750.0000  0.80364218e-16  -92.29 0.12675984e-12   45.09 0.88014452e-16  131.30
       8000.0000  0.73102647e-16  -92.24 0.11522777e-12   45.01 0.61867985e-16  148.82
       8250.0000  0.66671541e-16  -92.20 0.10508496e-12   44.95 0.43803089e-16  166.36
       8500.0000  0.60960443e-16  -92.16 0.96115250e-13   44.90 0.31258786e-16 -176.13
       8750.0000  0.55875512e-16  -92.13 0.88144790e-13   44.86 0.22494599e-16 -158.74
       9000.0000  0.51336406e-16  -92.11 0.81032568e-13   44.84 0.16327167e-16 -141.54
       9250.0000  0.47274028e-16  -92.09 0.74663007e-13   44.83 0.11951482e-16 -124.63
       9500.0000  0.43628820e-16  -92.08 0.68940270e-13   44.82 0.88193213e-17 -108.07
       9750.0000  0.40349398e-16  -92.07 0.63783982e-13   44.82 0.65565453e-17  -91.94
      10000.0000  0.37391404e-16  -92.07 0.59126024e-13   44.82 0.49068791e-17  -76.30
      10250.0000  0.34716534e-16  -92.07 0.54908142e-13   44.82 0.36937948e-17  -61.18
      10500.0000  0.32291683e-16  -92.07 0.51080142e-13   44.81 0.27947644e-17  -46.61
      10750.0000  0.30088207e-16  -92.07 0.47598523e-13   44.81 0.21239322e-17  -32.61
      11000.0000  0.28081283e-16  -92.07 0.44425406e-13   44.81 0.16204867e-17  -19.18
      11250.0000  0.26249350e-16  -92.07 0.41527686e-13   44.81 0.12408608e-17   -6.32
      11500.0000  0.24573638e-16  -92.07 0.38876349e-13   44.81 0.95348694e-18    5.98
      11750.0000  0.23037760e-16  -92.07 0.36445906e-13   44.80 0.73524874e-18   17.75
      12000.0000  0.21627365e-16  -92.06 0.34213913e-13   44.80 0.56905996e-18   29.00
      12250.0000  0.20329852e-16  -92.06 0.32160573e-13   44.79 0.44219178e-18   39.76
      12500.0000  0.19134121e-16  -92.06 0.30268385e-13   44.79 0.34510216e-18   50.07
      12750.0000  0.18030365e-16  -92.06 0.28521852e-13   44.79 0.27060452e-18   59.97
      13000.0000  0.17009898e-16  -92.06 0.26907223e-13   44.78 0.21326897e-18   69.50
      13250.0000  0.16065002e-16  -92.06 0.25412269e-13   44.78 0.16898516e-18   78.72
      13500.0000  0.15188808e-16  -92.06 0.24026098e-13   44.77 0.13463917e-18   87.68
      13750.0000  0.14375181e-16  -92.06 0.22738983e-13   44.77 0.10787205e-18   96.43
      14000.0000  0.13618635e-16  -92.05 0.21542226e-13   44.77 0.86897788e-19  105.05
      14250.0000  0.12914251e-16  -92.05 0.20428027e-13   44.76 0.70365064e-19  113.56
      14500.0000  0.12257611e-16  -92.05 0.19389383e-13   44.76 0.57251822e-19  122.03
      14750.0000  0.11644738e-16  -92.05 0.18419994e-13   44.76 0.46784731e-19  130.48
      15000.0000  0.11072047e-16  -92.05 0.17514177e-13   44.76 0.38377780e-19  138.94
   % Range crossline_B_amp crossline_B_phs inline_e_amp inline_e_phs  vertical_e_amp vertical_e_phs 
          0.0000  0.36319650e-12 -179.45 0.17537254e-07    0.32 0.17330800e-06    0.55
        250.0000  0.39438339e-12 -174.34 0.68745128e-10  178.59 0.60397505e-09 -179.21
