   % Range crossline_e_amp crossline_e_phs inline_B_amp inline_B_phs  vertical_B_amp vertical_B_phs 
          0.0000  0.30038330e-06  179.66 0.30048372e-10 -178.89 0.79918207e-12    0.70
        250.0000  0.42228268e-08  179.05 0.10666100e-12 -121.26 0.14739912e-11    9.95
        500.0000  0.89051572e-09 -177.16 0.71675852e-13 -143.63 0.35831654e-12   24.72
        750.0000  0.34676363e-09 -170.38 0.50012777e-13 -145.41 0.14395935e-12   40.28
       1000.0000  0.17172233e-09 -162.07 0.34722394e-13 -141.84 0.70842249e-13   55.74
       1250.0000  0.95943123e-10 -153.33 0.24572022e-13 -136.48 0.38765799e-13   70.76
       1500.0000  0.57425151e-10 -144.86 0.17730287e-13 -130.45 0.22595815e-13   85.17
       1750.0000  0.35875106e-10 -137.12 0.12998534e-13 -124.27 0.13709429e-13   98.86
       2000.0000  0.23067537e-10 -130.43 0.96501231e-14 -118.26 0.85377937e-14  111.78
       2250.0000  0.15155641e-10 -125.07 0.72376828e-14 -112.63 0.54069944e-14  123.85
       2500.0000  0.10148676e-10 -121.28 0.54762863e-14 -107.53 0.34588907e-14  134.98
       2750.0000  0.69366435e-11 -119.26 0.41779223e-14 -103.06 0.22236335e-14  145.06
       3000.0000  0.48639191e-11 -119.06 0.32144775e-14  -99.31 0.14308089e-14  153.92
       3250.0000  0.35243461e-11 -120.51 0.24962217e-14  -96.30 0.91870443e-15  161.28
       3500.0000  0.26559890e-11 -123.16 0.19588694e-14  -94.04 0.58772537e-15  166.79
       3750.0000  0.20855818e-11 -126.31 0.15555335e-14  -92.47 0.37515482e-15  169.89
       4000.0000  0.16989527e-11 -129.31 0.12515678e-14  -91.52 0.24082779e-15  169.88
       4250.0000  0.14236174e-11 -131.73 0.10211713e-14  -91.07 0.15856927e-15  166.14
       4500.0000  0.12160311e-11 -133.44 0.84509249e-15  -90.99 0.11066227e-15  158.91
       4750.0000  0.10513196e-11 -134.50 0.70902120e-15  -91.13 0.84185400e-16  150.05
       5000.0000  0.91565868e-12 -135.06 0.60241036e-15  -91.39 0.69460087e-16  142.24
       5250.0000  0.80130662e-12 -135.28 0.51757098e-15  -91.68 0.60171427e-16  136.91
