   % Range crossline_e_amp crossline_e_phs inline_B_amp inline_B_phs  vertical_B_amp vertical_B_phs 
          0.0000  0.30038330e-06  179.66 0.30048371e-10 -178.89 0.79918207e-12    0.70
         83.3333  0.45418823e-07  179.09 0.24499291e-11 -173.43 0.90575963e-11    2.22
        166.6667  0.10314154e-07  178.72 0.21234848e-12 -137.63 0.31326055e-11    5.66
        250.0000  0.42228286e-08  179.05 0.10665601e-12 -121.26 0.14739912e-11    9.95
        333.3333  0.22272375e-08  179.90 0.88436448e-13 -131.82 0.83446171e-12   14.67
        416.6667  0.13480946e-08 -178.82 0.79663250e-13 -139.67 0.52756913e-12   19.63
        500.0000  0.89051788e-09 -177.15 0.71672427e-13 -143.63 0.35831668e-12   24.72
        583.3333  0.62478676e-09 -175.15 0.63862984e-13 -145.34 0.25575341e-12   29.89
        666.6667  0.45790499e-09 -172.88 0.56574378e-13 -145.77 0.18927226e-12   35.08
        750.0000  0.34676636e-09 -170.38 0.50009868e-13 -145.41 0.14395961e-12   40.28
        833.3333  0.26930995e-09 -167.72 0.44212344e-13 -144.54 0.11185612e-12   45.47
        916.6667  0.21334861e-09 -164.93 0.39140480e-13 -143.32 0.88403951e-13   50.63
       1000.0000  0.17172557e-09 -162.07 0.34719734e-13 -141.84 0.70842619e-13   55.74
       1083.3333  0.14002243e-09 -159.16 0.30868173e-13 -140.18 0.57422280e-13   60.81
       1166.6667  0.11539502e-09 -156.24 0.27507949e-13 -138.39 0.46991054e-13   65.82
       1250.0000  0.95946633e-10 -153.33 0.24569598e-13 -136.49 0.38766251e-13   70.76
       1333.3333  0.80373477e-10 -150.45 0.21993014e-13 -134.52 0.32201489e-13   75.64
       1416.6667  0.67755552e-10 -147.62 0.19726974e-13 -132.51 0.26906382e-13   80.44
       1500.0000  0.57428644e-10 -144.85 0.17728141e-13 -130.46 0.22596315e-13   85.17
       1583.3333  0.48903483e-10 -142.17 0.15959942e-13 -128.40 0.19060090e-13   89.82
       1666.6667  0.41813201e-10 -139.59 0.14391501e-13 -126.33 0.16138518e-13   94.38
       1750.0000  0.35878335e-10 -137.11 0.12996706e-13 -124.28 0.13709945e-13   98.86
       1833.3333  0.30882977e-10 -134.75 0.11753409e-13 -122.25 0.11680239e-13  103.26
       1916.6667  0.26658199e-10 -132.51 0.10642755e-13 -120.24 0.99757565e-14  107.57
       2000.0000  0.23070322e-10 -130.42 0.96486342e-14 -118.27 0.85382991e-14  111.78
       2083.3333  0.20012465e-10 -128.47 0.87572259e-14 -116.34 0.73214590e-14  115.90
       2166.6667  0.17398379e-10 -126.68 0.79566237e-14 -114.46 0.62879243e-14  119.93
       2250.0000  0.15157873e-10 -125.06 0.72365300e-14 -112.64 0.54074717e-14  123.85
       2333.3333  0.13233382e-10 -123.61 0.65880029e-14 -110.88 0.46554518e-14  127.67
       2416.6667  0.11577366e-10 -122.34 0.60032483e-14 -109.17 0.40116362e-14  131.38
       2500.0000  0.10150305e-10 -121.27 0.54754471e-14 -107.54 0.34593288e-14  134.98
       2583.3333  0.89191493e-11 -120.39 0.49986124e-14 -105.98 0.29846773e-14  138.47
       2666.6667  0.78561043e-11 -119.71 0.45674702e-14 -104.49 0.25761332e-14  141.83
       2750.0000  0.69376689e-11 -119.23 0.41773600e-14 -103.08 0.22240264e-14  145.06
       2833.3333  0.61438711e-11 -118.97 0.38241505e-14 -101.75 0.19202265e-14  148.16
       2916.6667  0.54576553e-11 -118.90 0.35041701e-14 -100.50 0.16578723e-14  151.12
       3000.0000  0.48643867e-11 -119.03 0.32141464e-14  -99.33 0.14311539e-14  153.92
       3083.3333  0.43514515e-11 -119.35 0.29511559e-14  -98.24 0.12351362e-14  156.55
       3166.6667  0.39079322e-11 -119.84 0.27125808e-14  -97.24 0.10656152e-14  159.02
       3250.0000  0.35243446e-11 -120.48 0.24960722e-14  -96.32 0.91900032e-15  161.29
       3333.3333  0.31924250e-11 -121.26 0.22995183e-14  -95.48 0.79221777e-15  163.35
       3416.6667  0.29049591e-11 -122.15 0.21210170e-14  -94.73 0.68263040e-15  165.20
