ID YEAR MON DAY HR MN SEC LAT LON DEPTH MAG DELTA BAZ
 6 2014  9 18  4 17 57 50.81 149.94 504.4 5.6  73.98  25.97
 8 2018  7  1 20 45 45 47.00 144.97 403.7 5.6  75.80  30.81
13 2017  7 30 21  0 51 46.10 151.22  97.2 5.8  78.59  27.33
16 2018  7  6  1 40  8 51.38 158.21  57.8 6.1  75.61  20.82
26 2011  8  4 13 51 37 48.70 155.28  43.5 6.1  77.36  23.67
27 2012  4 14 15 13 15 49.30 156.04  90.4 5.6  77.01  22.96
29 2012  6  9 14 23 22 48.73 155.24  44.2 5.6  77.33  23.68
31 2012  7 11  2 31 21 45.29 151.83  18.8 5.7  79.50  27.29
36 2012  7 20  6 33  3 49.24 156.54  26.8 5.8  77.19  22.67
37 2012  9  9  5 39 40 49.28 155.97  40.6 5.9  77.01  23.01
38 2012  9 11  1 28 22 45.30 151.56  21.3 5.5  79.41  27.46
39 2012 10 14  9 42  2 48.27 154.81  46.1 5.8  77.63  24.14
40 2012 10 16 12 41 25 49.57 156.74  81.1 5.6  76.94  22.42
45 2013  3  1 13 20 55 50.68 157.90  41.1 6.5  76.19  21.28
51 2013  6  4 11  0 13 45.33 151.19  30.2 5.6  79.27  27.68
55 2015  9  5 13 16 11 49.34 155.98  45.5 5.8  76.96  22.98
57 2015 11 16 16 49 17 48.25 154.69  45.6 5.9  77.62  24.22
65 2018  4 13 21 46 56 46.48 151.19 111.1 5.1  77.99  26.93
67 2018  7  6  1 40  7 51.40 158.16  61.7 6.2  75.29  20.62
75 2018 10  9  7 45 16 49.27 156.61  22.6 6.1  76.90  22.38
76 2018 10 10 23 16  8 49.18 156.66  21.6 6.5  77.00  22.38
77 2018 10 11  2 16 19 49.00 156.38  29.5 5.5  77.09  22.62
78 2018 10 11  5 47 39 49.18 156.60  27.4 5.2  76.98  22.42
88 2019  7  9 11 33 33 47.35 144.86 450.9 5.6  75.24  30.48
110 2021  7  2 17 38 30 46.78 153.97  16.9 5.2  78.50  25.11
111 2021  7 13  0 30 19 46.06 151.86  59.4 5.7  78.57  26.68
112 2021  8 24  5 37 55 48.64 155.28  43.2 6.0  77.15  23.45
114 2021  9 20 20 25 30 46.22 152.61  41.2 6.2  78.64  26.13
115 2021 10  9  7 19 27 49.95 149.97 447.5 5.6  74.51  26.14
